Hybridization REF	SEDUM_p_TCGA_Batch14_Expr_HT_HG-U133A_96-HTA_D01_458642
Composite Element REF	Signal
MCF2L	3.84400440900269
AK1	4.7639884414139
FH	6.74761464165327
LGALS2	3.48320245862719
SYNPO2L	2.72291110944716
KIAA1045	3.30926400672604
C1orf183	4.60707244725966
MAGEA8	3.12355768055458
DGCR8	4.59393439750334
GSR	4.21336917667394
NEU2	3.12210252257055
HIST1H4B	3.6606241143348
CACNA1C	3.11062301239224
FAM20B	5.57193302372171
HES2	3.27488328859309
PDCD6	9.5099404756473
INTS7	5.23645761196005
AMPH	3.53809299793485
UCKL1	6.74776090530048
ASB4	3.05502387456378
C10orf97	5.05549229596743
ALDH1L1	3.95645122594007
CCL23	3.30394612069888
OBSL1	5.5208777275612
SLC12A7	7.30230353633924
THAP4	5.68461337511755
RBM4B	4.75819494733364
OGFRL1	4.84390313354238
KIAA0831	5.75553727188577
C12orf11	7.53316977446715
PPP1R15A	4.57311529201492
KIAA0240	5.23145455917457
CD1B	3.1465901164393
FCGR2A	5.42580187914146
MDC1	5.24900607501695
MAN1A1	3.55861456164352
KRT9	3.4083739296344
HTR1A	3.14869674196279
OCEL1	7.02714248153125
ATP11B	4.63371154837507
NLGN4X	4.68115711133986
FBXO34	7.10972609998004
ALOX12	3.22071515639822
RB1CC1	6.49006202014203
PCDH12	4.54637686665581
RPE	5.20536387021052
EIF4E	6.22093341837185
CSDC2	3.93459451233707
ABHD5	5.85318056078958
TMBIM1	6.28739351434566
PET112L	5.39248513706277
P2RXL1	3.26369214684232
F2RL2	3.08529025908612
TRMT1	4.88852049312496
IMPG2	3.69517326927556
LRRC32	5.03379550724969
BGLAP	4.33841186807179
HTR4	3.40244143846107
MRAS	4.99120877530255
TRAF6	4.90190485849117
AXL	4.95281179618107
ATP2C2	3.96570353585983
LMNB1	4.99602430754594
TELO2	4.24103844750776
PNPLA3	3.44479222737843
CSNK1E	5.99256230304735
SRP14	10.6777517883891
KCNQ4	3.51319145630028
PIK3C2B	5.77907647969734
C15orf15	8.41395867880621
TUBB2B	10.2510177168275
USP15	5.74448321648144
C12orf41	7.89210928503213
CEND1	3.69530869664203
RNF31	4.37255052429271
TCEAL2	5.09943449834258
PTGER2	4.03954578545917
UBN1	6.42054495097238
SLC5A7	3.18155220373893
SLC31A1	5.9755961975959
ADAM29	3.54980569763580
ST7L	4.5866068639474
GFOD1	5.07411989807283
CTNNA1	8.5529641868142
HRBL	3.75410702491027
CBX4	3.79624106170269
NTRK2	3.54198705642408
FOXN3	4.75029624237268
MFGE8	6.15163364460862
PFKFB2	4.03270493840138
TAS2R4	3.31888616311222
SH3TC2	3.43718757113243
IL10	3.55945901622211
PXMP4	6.02137346363496
RNF167	6.29789176285356
PRMT5	7.27073261249278
TSKU	5.1713942842708
ATPIF1	8.43769658447034
ETV3	3.40955214569068
PAK7	3.07690984556068
PDLIM1	8.90669603571541
CEP63	5.57345014782457
WDFY3	4.80161255571448
RNF126	4.45988995776171
DPM1	9.53253095468802
CLIC4	7.46349032322771
ACR	3.703333425334
KLK7	7.42828259521048
ALOX5AP	6.68989775993644
LRP1	4.96435188565791
TNK1	4.43318108225137
TAS2R9	3.03815675965559
ZNF16	5.33038297937135
POLR1B	4.68710289504238
SLC8A2	3.59989275731053
OLFM4	2.91549410904812
TACC1	4.48211824216959
SAMHD1	7.03021921468946
ATP13A2	5.11358623330844
KRT4	4.09772771437427
PAX6	3.48698866495885
SCG2	4.57786673204853
SLC17A6	3.42919651775302
TUBB4	3.73343835880431
PADI4	3.20034832395299
FMO3	3.0420268643794
NLK	3.73020423701896
POU4F3	3.23696977717888
MDM2	3.47409804313042
CAPNS1	9.47112011233194
SDF4	8.13675210788054
ITGBL1	3.19172960336395
TAP2	4.3074037316823
OR2C1	3.40100734499814
KLHDC3	7.12780183019377
EFHD2	5.01091527449466
GALR3	3.7937518295335
NBEA	3.14135473021133
ABCA6	3.37109237690012
ABBA-1	3.96817221127867
GNAI1	6.09478501457141
CLDN3	8.74400415671612
AKT2	3.24008875781843
EGFR	4.7048798735264
VPS4B	7.24740111430258
RBM16	7.7143792713819
GALNT6	5.25189943832052
ZDHHC3	5.65870115174256
SLC25A4	6.9480550834249
CYB5B	5.75553319708986
NDRG1	7.44680414775821
SESN1	5.03330536585983
GBE1	6.82489184815552
MRPL46	5.92696950896458
CLASP1	6.08366321689816
FARP2	4.74219562305449
ACOT11	3.56808438190964
LDHAL6B	3.0143828644273
MAPKAPK3	6.5288670820198
NCAM2	2.91339510777112
AFAP1	4.56972711165473
PRKD2	5.77234286808439
OR2H2	3.37848974160283
ZFP36L1	6.57574638653152
DZIP1	4.58561668903727
GPR161	4.7496507559583
RNF146	5.8559402414718
NKX3-1	4.00145750441577
CCNB2	8.76181659074257
ZNF10	4.53323858465612
WDR74	5.3752150004455
