Hybridization REF	DURUM_p_TCGA_B22_23_Expr_HT_HG-U133A_96-HTA_A05_543736
Composite Element REF	Signal
GCM1	3.86180092255509
ELF1	6.63712697822497
TLR5	4.89565265787332
TCFL5	5.89521617619477
C1orf107	6.18028357929309
C19orf22	7.52423884059553
SAFB2	6.37042095561746
MAP3K7IP1	3.83548385869304
NCK2	7.46299569626453
OXA1L	8.76108754977522
KIAA0652	6.23137076409554
KLRG1	3.54785944719497
FRAG1	5.92821283818472
ZSCAN12	2.83599572902229
PSMD12	6.59235688820538
E2F4	5.69684763898509
CLEC4M	3.32401981303627
KIAA0999	6.01941121369457
CLDN10	4.8076613134664
MGC13053	4.22886051607028
TAC1	2.60953643884808
GYPA	3.37169277355444
HPCAL4	3.46007662825597
TRAIP	4.68849033275178
MEX3D	6.00391880099139
KIAA0232	6.59573439154955
ERCC8	4.76062209384971
NFAT5	4.87867811059992
GPX4	9.6703405126662
CSPG4LYP1	3.06381389950627
KIAA0368	6.43833424866891
FBXO3	5.23616532336416
DVL1	7.23013979274225
CMKLR1	3.70441650361179
GPR157	4.02314959834428
TYMS	9.80155098572614
OR52A1	3.30377642901141
PEF1	6.64981203485903
ZNF750	2.89362380807228
ALG9	7.08591878459907
MCM5	6.7900973860558
SDK2	3.3438172150788
BAIAP3	3.91076312080661
RABGGTB	7.02112298959618
KCNK7	3.34640173244796
PTP4A3	5.62019095835687
ANKRD40	3.94122200405285
CALCOCO2	7.8964238748465
TMSL8	7.41507223935604
SNCA	4.20866660475634
ZNF551	3.7270224906269
HBQ1	3.24380723103690
ARHGAP26	4.60623146423653
GEMIN6	5.52006027068899
HRAS	5.43935141425366
KLRC4	2.72677455620954
BSDC1	5.74058174035873
DSC1	3.63309644588481
RNF43	6.11893172871498
NDUFAF1	6.01634345858295
MAP2K4	5.85569839200199
FOLR2	5.454269042008
LYZL6	3.49663389705996
EPB41L3	3.83249332539799
TEKT2	6.2476883834315
CDKN2B	3.38660482089915
WSB1	6.08669344877978
ZNF480	3.4084566019442
MAP3K6	4.91888879850264
PROS1	4.76816917760155
PSMB8	8.9726225271956
HN1	7.9771154222708
MAS1	3.54352772375949
APOL1	6.14608772996817
CSHL1	3.54114401068109
ZBTB7C	3.53884561335037
AHCTF1	6.2726361915592
SAE2	9.62702204985442
ITGA2	3.82658126514502
AP2S1	8.70153004645575
P15RS	6.4120430996537
MME	3.42786498537321
VAT1	6.78182192883925
MAST4	5.1235943051253
TUFM	9.62778912154446
KRT33B	3.65341596032671
THEG	4.00597124597118
KCTD2	4.99457303996614
WDR26	8.7144059996739
MFI2	3.25654157478189
KRT34	3.21889635129104
NR4A3	3.5177717350626
SGSM3	5.59157165202845
ARSA	4.05439134713012
TOMM22	5.84060737274214
SOCS3	3.6655317506195
UNKL	4.05602822844076
POP4	8.69400062724008
BHLHB3	9.14249600588135
MALL	3.90600280029946
SOX15	3.54566858397967
CCNA2	7.50403834026456
PARK2	3.31029810630313
GPR124	4.49016854831762
TMEM132A	5.50102101714817
CGRRF1	6.04220625947724
RUVBL2	7.98401941745197
MCAT	6.6994622080925
WNT10B	3.88504195493800
ISCA1	7.1636593489954
RPAP1	5.18478955470223
C12orf48	5.25671921706701
RAI16	5.33058225721217
