Hybridization REF	TARRE_p_MultiPlate_TCGA_SS_MA_Ref_HT_HG-U133A_96-HTA_F01_586114
Composite Element REF	Signal
DDX50	8.01285535607987
STYXL1	7.77474765540329
TK2	4.80803207993092
BLVRB	7.69350769496847
STMN1	8.41430703305377
GUCA2A	3.14527138685306
DPP6	2.99328990890077
GALNT10	5.33880111353223
STK39	6.62684441850419
MMP24	4.77884444914795
CKS2	10.1942097871850
RHO	3.74470020921015
BANF1	9.58094294597462
CR1	3.05688590170973
RPS6KA2	6.29421462864692
HMBS	6.75988239411947
C20orf112	4.03604580117909
SLC25A24	8.66393383674147
MRPL22	9.52471709725637
SLC25A15	5.83376132286812
GADD45B	6.32728907138276
TDP1	6.36854575939847
ZNF287	3.59389087012764
DAAM2	5.695819594782
C11orf57	6.1211346057121
RFK	8.14225541865013
ZFYVE9	3.7431238573603
TCTN3	8.0253753143944
STCH	6.46569904185192
LOC283871	3.79747640035381
NDUFB3	8.86014677706404
DEFB4	3.64818980119559
FPR1	4.97474243969736
FMNL1	4.4239522233803
SEPT7	9.99939475210211
PTCD2	5.32139319848888
GNLY	4.44444332192507
GRAMD1C	5.43449130306678
ZNF165	5.58549256851686
TR2IT1	5.24727216502968
ARMCX3	8.2852706946472
NDE1	5.91649408405648
MAGEF1	7.35298538208372
ITGA10	3.41441943324014
ARHGDIB	9.30889544783375
FSHB	3.61838471805251
ANXA2	10.9371227896308
HLCS	3.93977754886774
MCF2L	4.04454137068536
AK1	7.18554331779597
FH	8.76572931643648
LGALS2	3.90288440089414
SYNPO2L	2.67188104573524
KIAA1045	3.23969291775106
C1orf183	4.64483525052952
MAGEA8	3.02867113093219
DGCR8	4.78153301159662
GSR	6.09171251944067
NEU2	3.30316534574240
HIST1H4B	3.39225059368661
CACNA1C	3.00721568740577
FAM20B	7.17866515490676
HES2	3.26284311978157
PDCD6	9.30396158421996
INTS7	7.23348217550604
AMPH	3.68470261276166
UCKL1	7.03491278338654
ASB4	3.00621837072468
C10orf97	4.92013538196025
ALDH1L1	3.89806068579223
CCL23	3.34295291662574
OBSL1	5.17283445817315
SLC12A7	8.16201554725256
THAP4	6.7935367331138
RBM4B	6.55934196141737
OGFRL1	6.01358132013342
KIAA0831	5.7324095698554
C12orf11	7.6685722140703
PPP1R15A	4.99391197146412
KIAA0240	5.71793429065965
CD1B	3.16444663487266
FCGR2A	7.18018856203185
MDC1	5.64210183608453
MAN1A1	4.25218696843255
KRT9	3.25967000227146
HTR1A	3.15580954699875
OCEL1	6.49987227905236
ATP11B	7.26201783094008
NLGN4X	6.322045451075
FBXO34	8.13174943832173
ALOX12	3.36655514125161
RB1CC1	7.503565187759
PCDH12	5.12895544617165
RPE	5.56386028659986
EIF4E	7.31003344295231
CSDC2	3.72384402078407
ABHD5	6.3905347781718
TMBIM1	7.08288724822755
PET112L	5.52820500714795
P2RXL1	3.10705548580127
F2RL2	3.12941666584294
TRMT1	6.49195949233966
IMPG2	3.69104870667932
LRRC32	5.00108600555123
BGLAP	6.90287373127428
HTR4	3.2919172528769
MRAS	6.83472824830277
TRAF6	5.49131598244221
AXL	5.59784899327345
ATP2C2	5.07732345522657
LMNB1	6.78215209200167
TELO2	4.34939044137945
PNPLA3	3.53620120096713
CSNK1E	6.42107502610521
SRP14	10.8419300540206
KCNQ4	3.06094028867729
PIK3C2B	6.79113665067427
C15orf15	8.99063167853519
TUBB2B	2.95169780331586
USP15	6.25369761763465
C12orf41	7.68175753252635
CEND1	3.90156481670049
RNF31	5.69550018517381
TCEAL2	3.41557338367167
PTGER2	4.41708169799144
UBN1	6.0743446776898
SLC5A7	3.27323657564578
SLC31A1	7.04500954004301
ADAM29	3.73170258956203
ST7L	4.20510997078128
GFOD1	4.77007848737259
CTNNA1	9.16590096266414
HRBL	4.03672515145805
CBX4	3.58735474405355
NTRK2	3.55751149714711
FOXN3	5.34174696805997
MFGE8	5.14005102548684
PFKFB2	3.92256090301134
TAS2R4	3.42314387202552
SH3TC2	3.37993951013873
IL10	3.70521968202077
PXMP4	4.64720609683440
RNF167	6.18017793670947
PRMT5	7.60961951012218
TSKU	5.69561975968484
ATPIF1	9.0990819349043
ETV3	3.30549847189866
PAK7	2.99428601268868
PDLIM1	10.0652328632028
CEP63	5.83986847031755
WDFY3	5.15987580110435
RNF126	4.73146219118307
DPM1	9.16645748929787
CLIC4	7.03590371934098
ACR	3.6213432934863
KLK7	6.14615859990173
ALOX5AP	8.17326279844968
LRP1	5.08646394401634
TNK1	5.09299225795241
TAS2R9	2.91321475635422
ZNF16	5.80075892587205
POLR1B	5.52233224968677
SLC8A2	3.73701952691741
OLFM4	3.13818507069743
TACC1	5.5120403120116
SAMHD1	7.52207993096457
ATP13A2	6.01966911055259
KRT4	3.4178395125366
PAX6	6.52280730821826
SCG2	3.50554288206751
SLC17A6	3.29645191791965
TUBB4	3.61552423636200
PADI4	2.97268518752795
FMO3	3.32847894687451
NLK	4.42227795676092
POU4F3	3.0237692405431
MDM2	3.25199360316084
CAPNS1	8.61911608509286
SDF4	7.7095088762443
ITGBL1	4.58570561831915
TAP2	4.09312866631979
OR2C1	3.55248066367308
KLHDC3	7.41912309006237
EFHD2	6.54753883704
GALR3	3.57606563499302
NBEA	7.6732116885995
ABCA6	3.39766092526667
ABBA-1	3.77915495069973
GNAI1	5.4139656492972
CLDN3	7.35345269708712
AKT2	3.28551891539559
EGFR	4.85065336846604
VPS4B	7.24382190037488
RBM16	7.55519585931142
GALNT6	5.24935712123513
ZDHHC3	5.81224028460741
SLC25A4	6.44043858352219
CYB5B	6.92005094653182
NDRG1	6.86447031172281
SESN1	5.44635841867707
GBE1	7.42994723099146
MRPL46	7.06817898519043
CLASP1	6.32569976184226
FARP2	5.97427891202254
ACOT11	3.67611601856780
LDHAL6B	2.94079685589037
MAPKAPK3	5.70600248774379
NCAM2	3.12511939791134
AFAP1	4.10529454908378
PRKD2	6.1198270532038
OR2H2	3.28349464967901
ZFP36L1	8.27622893143321
DZIP1	4.60359159788267
GPR161	4.12474860759428
RNF146	5.15729434807347
NKX3-1	3.94673274101809
CCNB2	8.51172768449751
ZNF10	3.75667053516093
WDR74	6.3005732049698
FAM134A	8.00266927960211
PCNP	9.73476697893309
PURA	5.80786576749079
DNPEP	8.04270223595931
ERBB2	4.83995456059122
CREB1	6.33308244702275
NEO1	6.73220335128978
DDX3Y	3.31761079317505
RPS3A	12.7394861357688
MXRA7	8.58026063803013
LGALS3	10.8982390659071
GLT8D1	7.40106712736244
TMPRSS3	7.63642548718937
UPB1	3.17602366837303
LAT	4.37851633292479
CLDN14	3.55012850599465
DHX38	4.96158313986339
KCNA3	3.29250391082751
BTBD1	8.5587608648854
TARS2	6.4236295270044
SKIV2L2	8.74175704536039
ABCF1	7.69732267352056
CDT1	4.08176931461562
ZHX2	4.79723850246313
FCF1	4.81513054278285
LRRC49	5.91416666592537
GUCY1B2	3.48659409246389
CD28	3.2512097679503
SMARCA4	6.67602732461754
SEPT2	9.72192337449279
SOHLH2	3.30801594001677
MCOLN3	3.60649320864956
LRP8	6.32102084197212
TAGLN3	3.86685970997451
MASP2	3.61671742863087
GPATCH3	4.93483959572245
TTRAP	8.84620111218107
AGL	8.5437507185565
NFE2L3	6.25513967928048
PSD4	4.16739685930723
PALMD	6.77579260812862
CCNB1IP1	7.98840758121468
TMEM43	7.02701977524352
OBFC1	6.98299853431195
STAT5B	4.58531066624684
C14orf79	4.34399012105059
ENPEP	3.88057609857995
SSB	8.61116419240809
SCT	2.94917144614598
TIMM23	7.62586265266489
SKI	3.68904066745342
SLC22A13	2.95999211866321
AKAP3	3.482728083417
OAS2	6.03891379972283
KIAA0423	5.93429970932175
SEC61G	9.7194300798673
CAPN11	2.95617725508106
TMEM50B	7.07050636962203
