Hybridization REF	CELLS_p_TCGA_B13__RNA_HT_HG-U133A_96-HTA_D05_452028
Composite Element REF	Signal
RB1CC1	7.64465627882406
PCDH12	4.42153351374316
RPE	4.7851319418622
EIF4E	6.48942280835441
CSDC2	3.78389517269347
ABHD5	4.93601494933489
TMBIM1	6.18453215947203
PET112L	4.46976712577946
P2RXL1	3.15477995133002
F2RL2	3.31560718275232
TRMT1	4.29161336662867
IMPG2	3.60534104220096
LRRC32	8.25918494655957
BGLAP	4.74986247296896
HTR4	3.49034864875492
MRAS	6.34315602450237
TRAF6	4.70356239871355
AXL	5.1331945897386
ATP2C2	3.50312816314492
LMNB1	3.92011247854344
TELO2	4.59993065735214
PNPLA3	3.67540782187298
CSNK1E	6.10356347464064
SRP14	10.4999619108456
KCNQ4	3.19921926905772
PIK3C2B	6.0050609891742
C15orf15	8.1962936942956
TUBB2B	3.09224775052537
USP15	5.6408969263972
C12orf41	7.2604060386156
CEND1	4.00620158881713
RNF31	4.98847120665371
TCEAL2	4.21980220082684
PTGER2	5.96815498091568
UBN1	6.85779690264189
SLC5A7	2.95558907461400
SLC31A1	6.46041039940676
ADAM29	3.23146788976114
ST7L	4.0505928385225
GFOD1	4.48565146815992
CTNNA1	9.13825398589477
HRBL	3.59252091003244
CBX4	3.71544539849845
NTRK2	3.78628368847636
FOXN3	4.97465545208639
MFGE8	7.55288763587293
PFKFB2	3.70727223296652
TAS2R4	3.35984015908981
SH3TC2	3.24128333809442
IL10	3.23323829796531
PXMP4	6.05697567488641
RNF167	6.47477427606775
PRMT5	7.39497327159591
TSKU	6.37161541139329
ATPIF1	7.93874056393857
ETV3	3.31891980459281
PAK7	2.98400367957227
PDLIM1	8.62190967272145
CEP63	5.27073132948673
WDFY3	5.41312714161235
RNF126	4.89205692627691
DPM1	8.96816931026257
CLIC4	6.4945823009413
ACR	3.7323689910214
KLK7	7.57062090552392
ALOX5AP	7.50696295700999
LRP1	5.67293631646639
TNK1	4.13158868933007
TAS2R9	3.05559175386971
ZNF16	6.51105998829647
POLR1B	5.06077821305555
SLC8A2	3.96781710114681
OLFM4	2.96851273245418
TACC1	5.05581265496519
SAMHD1	6.00356680696131
ATP13A2	4.94801354177031
KRT4	3.58122483711236
PAX6	3.70191388793269
SCG2	4.61347204901951
SLC17A6	3.25335541745289
TUBB4	3.69793252091196
PADI4	3.09621810026599
FMO3	3.18480559309670
NLK	4.23776328140982
POU4F3	3.08615145435083
MDM2	3.51125234158578
CAPNS1	8.30395489731227
SDF4	7.09562495002634
ITGBL1	5.18729256302598
TAP2	4.20679871057351
OR2C1	3.32696992360662
KLHDC3	6.09444017263409
EFHD2	5.93574273380049
GALR3	3.70323698793837
NBEA	4.25345525826968
ABCA6	3.38348756569801
ABBA-1	3.60907512026898
GNAI1	4.43643324587910
CLDN3	6.34759149844938
AKT2	3.4713315104539
EGFR	4.72221071708909
VPS4B	7.00862062074393
RBM16	7.33153709581465
GALNT6	5.04201099502402
ZDHHC3	4.61165951028881
SLC25A4	6.13227363186986
CYB5B	5.25092507806406
NDRG1	8.90137202324777
SESN1	4.68295644738477
GBE1	6.10837737171163
MRPL46	6.17377182103661
CLASP1	5.31192261342528
FARP2	4.18376726883607
ACOT11	3.79172917256368
LDHAL6B	3.00360283368718
MAPKAPK3	5.33733919967692
NCAM2	2.97050993941537
AFAP1	4.74733159782283
PRKD2	5.86046820982331
OR2H2	3.25523291239443
ZFP36L1	6.62997854204678
DZIP1	4.03422569298439
GPR161	5.36747060950554
RNF146	5.78623771604127
NKX3-1	4.04862339869619
CCNB2	7.06647799340283
ZNF10	3.35106687604213
WDR74	5.4006181129635
FAM134A	6.70242498931056
PCNP	8.3832973097051
PURA	5.83403774988723
DNPEP	6.45841550007956
ERBB2	4.95164569578288
CREB1	5.54412796142603
NEO1	5.9969986205887
DDX3Y	3.3333239421181
RPS3A	12.4408755024975
MXRA7	9.2924586945438
LGALS3	9.34989157917002
GLT8D1	6.92409076033479
TMPRSS3	5.66689100834606
UPB1	3.32619149922551
LAT	3.92409946146213
CLDN14	3.65587536891126
DHX38	4.41939394304068
KCNA3	3.14552391024227
BTBD1	8.09187341622339
TARS2	4.9535699356678
SKIV2L2	7.93369713752299
ABCF1	7.82168076702298
CDT1	3.05591093267061
ZHX2	6.64516266618293
FCF1	4.64694570525465
LRRC49	3.6874066545835
GUCY1B2	3.91708803506305
CD28	3.2516043390509
SMARCA4	5.30056301137228
SEPT2	8.69377076908365
SOHLH2	3.15943653760937
MCOLN3	4.68689169961345
LRP8	4.46183749366283
TAGLN3	3.82002709830774
MASP2	3.56267727641382
GPATCH3	3.79651546379519
TTRAP	8.98742519164777
AGL	6.79508851804026
NFE2L3	4.66794257331411
PSD4	4.13860444920965
PALMD	4.58197413298276
CCNB1IP1	7.77569958888996
TMEM43	7.01755146501608
OBFC1	6.3717648149982
STAT5B	4.04522323352603
C14orf79	4.48243045794396
ENPEP	5.03978923363307
SSB	8.7251380142928
SCT	3.30470182827900
TIMM23	6.99578103609392
SKI	3.73448812186618
SLC22A13	3.1066880092309
AKAP3	3.94333665571719
OAS2	6.03785741747589
KIAA0423	6.4784732746247
SEC61G	9.35020137961085
CAPN11	3.24455720949114
TMEM50B	7.35204221310012
DEGS1	8.71598711872612
ARHGEF4	3.67011906692832
DBNDD1	3.89383254159179
