Hybridization REF	DURUM_p_TCGA_B22_23_Expr_HT_HG-U133A_96-HTA_B10_543602
Composite Element REF	Signal
EIF4E	6.37148619935836
CSDC2	4.22104364361458
ABHD5	6.16461634620834
TMBIM1	6.48328907217477
PET112L	5.11723756286644
P2RXL1	3.35153737383078
F2RL2	3.49873370183033
TRMT1	5.92404036527348
IMPG2	4.11072097135212
LRRC32	4.19856359249241
BGLAP	5.83985597911447
HTR4	3.6800188532618
MRAS	4.89158755869785
TRAF6	5.40325119630494
AXL	4.30640232374896
ATP2C2	4.89713447113724
LMNB1	4.44582088716783
TELO2	4.38394075644805
PNPLA3	3.96935533939272
CSNK1E	4.85395159610938
SRP14	9.90074945779044
KCNQ4	3.33474560902127
PIK3C2B	4.78092737817617
C15orf15	9.5371385206031
TUBB2B	3.22924613476186
USP15	6.64673854451896
C12orf41	8.50433202671691
CEND1	3.71012463354366
RNF31	3.87029613656389
TCEAL2	4.69360233911985
PTGER2	4.21715884417514
UBN1	4.50510354788847
SLC5A7	3.33593044310690
SLC31A1	5.54881403167776
ADAM29	3.3882552773817
ST7L	4.48333250002188
GFOD1	4.53289022160864
CTNNA1	7.48766980023852
HRBL	3.89017677597401
CBX4	3.37330088702832
NTRK2	3.7000712577962
FOXN3	4.48451697322256
MFGE8	5.28116512387567
PFKFB2	3.84959017186511
TAS2R4	3.77091901346262
SH3TC2	2.98282693903414
IL10	3.68881876634912
PXMP4	5.66550095686851
RNF167	7.30714145585194
PRMT5	6.60699250380481
TSKU	6.15801051167124
ATPIF1	9.12938553461751
ETV3	3.3504324722426
PAK7	3.22330103889097
PDLIM1	9.44933582908901
CEP63	3.86322383107415
WDFY3	4.01053613027621
RNF126	4.76375933972811
DPM1	9.31084198409553
CLIC4	6.29915350704678
ACR	3.90723699587063
KLK7	9.81862469294644
ALOX5AP	7.56153617979664
LRP1	4.53153590568447
TNK1	5.38701087182251
TAS2R9	3.49605710044829
ZNF16	5.26405310063008
POLR1B	4.64473229226073
SLC8A2	4.1169767086988
OLFM4	2.92190084962156
TACC1	5.16928278996102
SAMHD1	5.82713294625231
ATP13A2	4.23787383257519
KRT4	3.5696017323605
PAX6	3.90886232431024
SCG2	3.71483651898573
SLC17A6	3.52939897787899
TUBB4	3.76372550819125
PADI4	3.30135719795921
FMO3	3.29538373818513
NLK	3.30505684351583
POU4F3	3.52378052197173
MDM2	3.79548234707391
CAPNS1	9.03124215792876
SDF4	5.34070855653773
ITGBL1	2.88640938771674
TAP2	3.80084145856914
OR2C1	3.77938612972348
KLHDC3	6.72335097376356
EFHD2	5.71314157610053
GALR3	4.04150642557036
NBEA	3.20374572724833
ABCA6	3.37781871076310
ABBA-1	3.73198736992599
GNAI1	3.85949289087464
CLDN3	5.97290793831097
AKT2	3.35402791540902
EGFR	4.12712672905609
VPS4B	6.20395402947764
RBM16	6.61916456845458
GALNT6	4.8694537765652
ZDHHC3	5.18529588852521
SLC25A4	5.65047889065709
CYB5B	6.37337019288652
