Hybridization REF	LENOS_p_TCGA_Batch18and19_HT_HG-U133A_96-HTA_B02_491104
Composite Element REF	Signal
UCKL1	6.59877880043128
ASB4	3.08962391381310
C10orf97	4.58537474155963
ALDH1L1	4.12915485960906
CCL23	3.23881550753137
OBSL1	6.63916679621467
SLC12A7	7.16463429822904
THAP4	6.42049650734716
RBM4B	5.06250322704359
OGFRL1	4.48620997097899
KIAA0831	6.48195693704661
C12orf11	8.09502624217954
PPP1R15A	4.32067235035691
KIAA0240	6.5141020526322
CD1B	3.34423006827968
FCGR2A	4.16925235427476
MDC1	5.28093710260407
MAN1A1	4.46715077571646
KRT9	3.24483648227568
HTR1A	3.46706791571369
OCEL1	6.58711846865843
ATP11B	5.58896528499837
NLGN4X	4.03242918249456
FBXO34	7.69889400993391
ALOX12	3.3593356284926
RB1CC1	7.21402186709878
PCDH12	4.32657116386665
RPE	5.4708828728599
EIF4E	7.28619915152843
CSDC2	3.70178309722506
ABHD5	4.52232219131315
TMBIM1	6.97976368153426
PET112L	4.79329788692318
P2RXL1	3.27352344197944
F2RL2	3.05780502722298
TRMT1	5.36923589564733
IMPG2	4.89531474513461
LRRC32	5.79815504478057
BGLAP	4.95031836449995
HTR4	3.35191487441897
MRAS	3.49711176495375
TRAF6	6.14649720444434
AXL	4.38996514210655
ATP2C2	3.47506940195257
LMNB1	5.65215940222929
TELO2	4.67199125990754
PNPLA3	3.68018855445399
CSNK1E	6.4245644685799
SRP14	10.3489616434612
KCNQ4	3.29977760856413
PIK3C2B	5.93687818367514
C15orf15	8.56610596419889
TUBB2B	8.26776682138513
USP15	5.8993147849375
C12orf41	7.67609610595898
CEND1	3.39005150085285
RNF31	4.49907069652716
TCEAL2	4.55444692607707
PTGER2	3.96299093939422
UBN1	6.81786927174358
SLC5A7	3.33247873724441
SLC31A1	5.89784019484111
ADAM29	3.50951878829339
ST7L	4.33712029531612
GFOD1	5.16498378109851
CTNNA1	9.15430698987761
HRBL	3.77433977883831
CBX4	3.56008847514755
NTRK2	3.58942210503151
FOXN3	4.47751001116457
MFGE8	5.74488556125658
PFKFB2	3.83818358386105
TAS2R4	3.44297563054799
SH3TC2	3.076024514796
IL10	3.42482610268524
PXMP4	6.69573465232068
RNF167	6.01726447025626
PRMT5	7.75904191531108
TSKU	5.13216002045348
ATPIF1	8.38181210806044
ETV3	3.12468346104405
PAK7	3.10776206814386
PDLIM1	10.3706985799208
CEP63	4.70478501669302
WDFY3	4.53435050149614
RNF126	4.96137762341483
DPM1	9.35279712082508
