Hybridization REF	PSHAW_p_TCGA_Batch11_RNA_HT_HG-U133A_96-HTA_A12_433732
Composite Element REF	Signal
USP15	5.28998860404342
C12orf41	6.41702218915353
CEND1	4.14441381472559
RNF31	5.19270909706374
TCEAL2	3.57735333378069
PTGER2	3.89752227414371
UBN1	6.1555075548895
SLC5A7	3.37531073229671
SLC31A1	5.31765646994465
ADAM29	3.69827831528616
ST7L	4.45303106903069
GFOD1	7.66156163988205
CTNNA1	9.32371904201733
HRBL	4.41457130798512
CBX4	3.61251510895792
NTRK2	3.73116850071884
FOXN3	5.50250321364825
MFGE8	6.47784705982537
PFKFB2	3.76732391517454
TAS2R4	3.85781464866229
SH3TC2	3.56291153451416
IL10	3.53234462850439
PXMP4	5.80473802069986
RNF167	5.71753126077224
PRMT5	7.02002160812660
TSKU	5.39139556337484
ATPIF1	8.54941031170584
ETV3	3.50109222849204
PAK7	3.28624005140065
PDLIM1	8.67664613107604
CEP63	5.02363135848852
WDFY3	4.61612432200932
RNF126	4.48611542875631
DPM1	8.76034808871657
CLIC4	6.42072894482696
ACR	3.94417004722998
KLK7	10.2775736040870
ALOX5AP	6.7888024529899
LRP1	5.07991018519949
TNK1	4.51393380605819
TAS2R9	3.06141519894476
ZNF16	5.22107610459753
POLR1B	5.75849457385609
SLC8A2	3.87860786377797
OLFM4	3.07219395106349
TACC1	4.95088093909776
SAMHD1	7.75452463683748
ATP13A2	6.08285883141147
KRT4	3.89447669440534
PAX6	4.19188529503559
SCG2	3.89538427564543
SLC17A6	3.48221957196594
TUBB4	3.86899705345383
PADI4	3.38144010653495
FMO3	3.30659924018305
NLK	4.5604765143482
POU4F3	3.27617652728112
MDM2	3.50543396971181
CAPNS1	9.68242800594622
SDF4	5.83450721674772
ITGBL1	4.15082941931444
TAP2	4.53331048126107
OR2C1	3.6416092555802
KLHDC3	6.30491832835596
EFHD2	6.47531547964348
GALR3	3.69890545237305
NBEA	3.25868564012783
ABCA6	3.52975342649571
ABBA-1	3.85615839387399
GNAI1	3.75694941216083
CLDN3	8.26909899218562
AKT2	3.68285306724005
EGFR	4.17849237726663
VPS4B	6.8440567206943
RBM16	7.91836083538811
GALNT6	6.4539584555805
ZDHHC3	4.99009876885598
SLC25A4	5.46424135786172
CYB5B	5.04288054542513
NDRG1	7.58452445174075
SESN1	4.75246466655436
