Hybridization REF	FEAST_p_TCGA_B20_21_Expression_HT_HG-U133A_96-HTA_F07_516320
Composite Element REF	Signal
ADAM29	3.45742634636113
ST7L	3.95534633816403
GFOD1	3.98601586576898
CTNNA1	8.38554502509535
HRBL	3.57397129098552
CBX4	3.58398266953765
NTRK2	3.42339755641527
FOXN3	4.24942367436433
MFGE8	7.88503227003534
PFKFB2	3.98049471862457
TAS2R4	3.72684802655004
SH3TC2	3.22673056731269
IL10	3.48830598843748
PXMP4	6.66406419664333
RNF167	6.46705684246996
PRMT5	8.50151359160427
TSKU	5.43334041955595
ATPIF1	7.47070640690669
ETV3	3.21255189632799
PAK7	2.98540784855222
PDLIM1	9.95797258550212
CEP63	5.12384844140599
WDFY3	4.5304315805359
RNF126	4.35120453611672
DPM1	9.16757097079273
CLIC4	5.93362537744273
ACR	3.80748031652943
KLK7	7.8067502026137
ALOX5AP	5.34331016673527
LRP1	5.16057329777706
TNK1	4.92190429905609
TAS2R9	3.11495694224682
ZNF16	4.74677948720873
POLR1B	4.87175026360657
SLC8A2	3.58002641919971
OLFM4	2.81960298257195
TACC1	4.72482190905459
SAMHD1	6.86885316184402
ATP13A2	4.68985586094436
KRT4	4.85481969537602
PAX6	6.43953797113676
SCG2	3.61134128808155
SLC17A6	3.46412678894141
TUBB4	3.70452426015840
PADI4	3.23136973860114
FMO3	3.13690227221068
NLK	3.95116436795398
POU4F3	3.16001603548359
MDM2	3.66306573672934
CAPNS1	9.73510416068289
SDF4	7.319936537669
ITGBL1	2.83246019868976
TAP2	3.90852391863142
OR2C1	3.27034495020288
KLHDC3	7.29256780098635
EFHD2	6.76135928386725
GALR3	3.57851182210328
NBEA	3.25469446933287
ABCA6	3.20592208296933
ABBA-1	3.95593302173065
GNAI1	5.92627128845753
CLDN3	8.49988638700374
AKT2	3.54018528214319
EGFR	3.98029527858288
VPS4B	6.59982955053533
RBM16	7.71116596480498
GALNT6	5.68070118627536
ZDHHC3	5.0979327765091
SLC25A4	6.73749833244193
CYB5B	7.0292771153404
NDRG1	6.84658199961664
SESN1	5.37929123482711
GBE1	7.19890240591416
MRPL46	6.71192056261525
CLASP1	5.42845908754369
FARP2	4.82937327844905
ACOT11	3.9733167218236
LDHAL6B	3.05494027100519
MAPKAPK3	4.81011432283446
NCAM2	2.83420425592562
AFAP1	4.21113480336191
PRKD2	6.05822695777721
OR2H2	3.33494510331067
ZFP36L1	6.96747729524027
DZIP1	5.64991430243817
GPR161	3.90388156998944
RNF146	5.39681197018491
NKX3-1	3.7957324232391
CCNB2	8.18056388928411
ZNF10	3.8454814368311
WDR74	6.33316681790822
FAM134A	6.89386567699592
PCNP	8.71627030727238
PURA	5.16023151729328
DNPEP	6.11152255133048
ERBB2	5.59059675764497
CREB1	5.34272075831937
NEO1	6.63894570391793
