Hybridization REF	DURUM_p_TCGA_B22_23_Expr_HT_HG-U133A_96-HTA_C03_543702
Composite Element REF	Signal
RPL4	12.4736084027035
MAD2L1	7.60644565309567
RBPMS	5.67256108722414
EIF4A3	9.1367242631932
E4F1	4.37166485985095
DLEC1	3.94303594079474
PRPF3	6.05003876919134
EMR1	3.09224936382508
CHMP2B	7.0845214909513
CAMSAP1	4.25335556173651
RPS21	10.0905450366361
XCR1	3.39153886840213
ARID5A	4.0196923529389
RBM6	5.66683229476562
UBE2N	7.96511587956417
KLF4	6.25703385222743
MGC4172	4.81290888838034
LMO4	6.88435034533587
KLKB1	3.11258076986375
HDAC3	7.02378125173001
HP	3.0389740645406
SCHIP1	5.88408879791794
BTK	4.37721278141987
KRCC1	8.69211091883043
PRND	3.12877661115353
C6orf27	3.35823749042785
PIGL	3.87770576276025
CLCA1	3.72990852751040
C1orf112	5.38978899623783
OLFML2A	5.29852088509327
HUS1	4.87234243977414
SFRS6	7.8773069780511
CXCR7	6.7450188645343
UIMC1	7.10002881257109
FXYD2	3.36270662714732
GOT2	7.70913167923337
ZNF667	3.21784812385948
TFEC	4.23609917791798
ATP7B	3.62106253645607
RAB38	5.37343644192589
POLD2	7.76517297090881
PPM1H	4.30372877800256
DCX	3.29387461135624
NFYC	6.26797808036074
ZNF228	4.27181363844229
KIN	6.20500031179436
PLSCR4	7.23876886834068
HIST1H4I	4.35603131306225
PPARGC1A	3.07100695734834
HIG2	6.95249536497376
KCNK10	3.82331213165214
EXOC1	7.81567958405002
OR6A2	3.86653781173474
ETFA	9.0275545767438
PDAP1	5.477282715142
C19orf6	3.43804572878865
POLRMT	4.3302807994808
ZNF146	8.26857926351666
MIA2	3.20480573982583
LY6G6E	3.11453365023332
EIF4E2	7.92023471677795
NENF	5.14033192779222
HOXB5	3.75797916142779
ZNF324	4.3616154701179
CUGBP1	4.18353013549085
ENTPD7	4.00702384395046
TTC13	6.19559734057477
GJB5	3.54978971980031
PRSS22	4.2750332454787
CYP3A5	3.39067987410624
MBOAT5	4.01334925585745
CUL4B	5.87828736017533
CENPJ	4.60716909614285
KIAA0664	6.30558822854967
PITX1	4.87536502563989
PDGFRB	5.41234655844443
RDX	6.68292977280267
CELSR3	3.84694490651127
JUND	6.92071348191821
ITSN1	5.3109495705029
CHRNB1	3.86596381904413
EHBP1L1	4.11196216431336
C19orf2	7.84310120633635
FETUB	3.10310015875903
CAMK2B	3.10817442713214
DCTN1	6.3175630449152
TNKS2	7.68063691607416
MRTO4	8.00433278152122
C1QBP	6.42190918518634
TTC3	8.04732431097611
NDUFB8	8.86682255339922
CADPS2	5.29639198071154
EDG2	4.62379443670083
MYF5	3.22624827453588
SEMA3G	3.28506661080922
IL23A	3.78350795898267
GJA9	3.50132187935680
R3HDM2	7.60828077008148
C5	4.11064085256811
SLC2A10	6.06897765903538
TRIM45	4.75784043940116
TSP50	3.60829870784546
PAQR3	4.3847376472011
ANKRD26	3.74058657812019
TCP1	8.54558198308056
TMED7	7.26989927363555
CMA1	2.78710526101169
PTCRA	4.17945143446193
HCRTR1	3.46274663449452
FST	4.05227201594352
