Hybridization REF	SEDUM_p_TCGA_Batch14_Expr_HT_HG-U133A_96-HTA_A06_458806
Composite Element REF	Signal
CLCNKB	3.31067005101640
PSMA5	8.6900748310422
FARS2	5.17628441238949
CCDC28A	6.80831269484434
AMPD3	4.17093773836943
PIAS1	6.97758223186467
ADCYAP1R1	3.37969696977551
TMEM134	6.611879534475
CDH20	2.90314642567194
FBXO7	7.04651771921532
FLJ14213	3.44774096656143
ZNF3	5.7565976518484
LRRFIP1	6.30412359294865
TMEM49	8.6930935271939
CNOT2	7.71064912379802
CBX2	2.98922730237870
ZC3H14	6.78257546243613
ALDH5A1	5.86796472771038
HNT	3.99281864882896
SERPINA4	3.09707456759108
FLJ20920	5.13855304908451
CRTAP	5.18825212952451
DDX50	8.43096075711837
STYXL1	6.77808003795885
TK2	4.5575469045648
BLVRB	6.29482586908063
STMN1	7.50478250459717
GUCA2A	3.34431297696065
DPP6	3.01602118664730
GALNT10	4.16092484247331
STK39	5.72806073366684
MMP24	4.65323979968245
CKS2	10.0808341140725
RHO	3.69572477743505
BANF1	8.53277693498082
CR1	3.00666815585543
RPS6KA2	4.65691808402038
HMBS	6.41782136054605
C20orf112	3.55576669340732
SLC25A24	6.59144336302033
MRPL22	7.97854062229319
SLC25A15	4.50388625945839
GADD45B	5.53600372422483
TDP1	6.4802318149797
ZNF287	3.94214953156763
DAAM2	5.47399713185294
C11orf57	5.55229771741917
RFK	6.58217736410305
ZFYVE9	4.04398597285791
TCTN3	7.2651507331804
STCH	6.6346638410882
LOC283871	3.44102398427256
NDUFB3	8.26987830561893
DEFB4	3.52686681495853
FPR1	3.61000628650047
FMNL1	3.91337611486126
SEPT7	9.49602027321797
PTCD2	4.73786168939091
GNLY	3.23503517754678
GRAMD1C	6.31434647516337
ZNF165	5.86461964704285
TR2IT1	3.97682472554401
ARMCX3	7.0604775912427
NDE1	5.30850540860592
MAGEF1	7.2681398960965
ITGA10	4.01556239893256
ARHGDIB	7.58430583619252
FSHB	3.73396023367658
ANXA2	11.1971836908147
HLCS	3.76126218387182
MCF2L	3.68048250567501
AK1	5.06770957855144
FH	6.33038421041025
LGALS2	3.78723751030579
SYNPO2L	2.69259092054005
KIAA1045	3.41698328811023
C1orf183	4.48103247097028
MAGEA8	2.91698811900358
DGCR8	4.42550712821162
GSR	4.27723106078446
NEU2	3.36697314157849
HIST1H4B	4.2293868276375
CACNA1C	3.12113081054151
FAM20B	5.9308138424395
HES2	3.25832089637096
PDCD6	9.2929644183366
INTS7	5.42541710321685
AMPH	3.60785234098138
UCKL1	5.93000844323645
ASB4	3.08252525733584
C10orf97	5.32417202956198
ALDH1L1	3.99231058006352
CCL23	3.24364934466063
OBSL1	5.09370672695022
SLC12A7	6.67580954922918
THAP4	5.01971016619319
RBM4B	5.38482313396873
OGFRL1	4.0785125947738
KIAA0831	6.53403649558617
C12orf11	7.71493868034044
PPP1R15A	4.2887489441393
KIAA0240	5.82731983007626
CD1B	3.24644908123876
FCGR2A	4.88054714042604
MDC1	5.35542382408543
MAN1A1	3.91937855875602
KRT9	3.52680939860041
HTR1A	3.40568216048629
OCEL1	5.46312170813358
ATP11B	4.94467587355516
NLGN4X	4.23303842516475
FBXO34	7.3997602072775
ALOX12	3.14352350365073
RB1CC1	7.22962783683154
PCDH12	4.30982450771435
RPE	5.74304566244864
EIF4E	6.12250748596537
CSDC2	4.13668515457880
ABHD5	4.89437742052734
TMBIM1	6.28857083759464
PET112L	5.12118836955627
P2RXL1	3.34756284417962
F2RL2	3.12432123674581
TRMT1	5.79598998411383
IMPG2	3.68055525981916
LRRC32	5.18463687841652
BGLAP	4.93157596311731
HTR4	3.34790936047374
MRAS	4.62829779132649
TRAF6	4.82820613227010
AXL	5.39559859010681
ATP2C2	3.15136252226077
LMNB1	4.05425818298557
TELO2	5.09416791316266
PNPLA3	3.40915070695791
CSNK1E	5.79692652365024
SRP14	10.3965482105390
KCNQ4	3.57541425624077
PIK3C2B	4.93975782422904
C15orf15	9.12656994229522
TUBB2B	8.24847239639925
USP15	5.85399298679501
C12orf41	8.16665776182806
CEND1	3.58355557010916
RNF31	4.10855029880939
TCEAL2	4.73679838294336
PTGER2	4.15256785990387
UBN1	7.09112122699111
SLC5A7	3.10277507642811
SLC31A1	5.3519146049072
ADAM29	3.28036469678776
ST7L	4.18250028845994
GFOD1	4.44284860574842
CTNNA1	8.27896649440587
HRBL	3.51961045990119
CBX4	3.36000351734069
NTRK2	3.63238722258536
FOXN3	5.76517539950606
MFGE8	6.52946892135959
PFKFB2	3.44623106024573
TAS2R4	3.53100646357573
SH3TC2	3.11227515968635
IL10	3.30341817189978
PXMP4	5.52940696137785
RNF167	6.37545312498834
PRMT5	7.64449884897068
TSKU	5.27315004920567
ATPIF1	8.2457987173697
ETV3	3.30532242131935
PAK7	3.17004515498414
PDLIM1	10.4831128868758
CEP63	4.73942989150467
WDFY3	4.56205570267677
RNF126	4.2969141069942
DPM1	8.85934937532001
CLIC4	7.15926020952682
ACR	4.00342972562332
KLK7	8.08309280692467
ALOX5AP	7.4322031478834
LRP1	5.37701494208118
TNK1	4.54335355146902
TAS2R9	3.21665128833964
ZNF16	5.95011186007026
POLR1B	4.98953777178987
SLC8A2	3.72965009496021
OLFM4	3.12443499380591
TACC1	5.13627132048207
SAMHD1	6.30558544548159
ATP13A2	4.56834525206067
KRT4	3.48597090224171
PAX6	4.76014755179665
SCG2	4.30615794868322
SLC17A6	3.40144998834176
TUBB4	3.60315135771339
PADI4	3.10087195590421
FMO3	6.32319786858637
NLK	3.79801429681905
POU4F3	3.24864538953112
MDM2	3.4514704737342
CAPNS1	9.03530991074675
SDF4	6.91636114036606
ITGBL1	4.75473186857928
TAP2	3.80525441913083
OR2C1	3.51790362215823
