Hybridization REF	BONES_p_TCGA_Batch8_9_RNA_HT_HG-U133A_96-HTA_F02_298040
Composite Element REF	Signal
KRT34	3.3348335644491
NR4A3	3.54391316449282
SGSM3	4.93907850450283
ARSA	4.65813268870686
TOMM22	5.03082151908106
SOCS3	3.78165776931828
UNKL	4.31968714122527
POP4	7.57164618660893
BHLHB3	9.05731735704244
MALL	4.63220514641854
SOX15	3.47721575481127
CCNA2	4.8145785545132
PARK2	3.17768748049222
GPR124	4.30762038253379
TMEM132A	5.49680685452098
CGRRF1	3.99654693077957
RUVBL2	8.22102431422779
MCAT	5.90603400534637
WNT10B	4.19123591654574
ISCA1	5.4073634675159
RPAP1	4.84613452785889
C12orf48	4.53669874621528
RAI16	5.56045552301315
RPL27	9.12016461489009
EPN1	4.22296275047372
MAGI1	2.73338829191720
GBX2	3.38933606348663
SLC35A1	5.5537140071308
GAL	3.82502514440293
SLC14A2	3.93493054669455
RDH11	6.24944450775641
ZNF518	4.11241691613197
PCYT1B	3.51725536156272
AUH	6.80069198799235
EIF3H	10.5906053232348
KIF1B	6.8539519767188
MBD2	4.4908753532852
AMOTL2	7.97449423985
C6orf120	4.94640810160639
PIGT	6.87407472342893
PSRC1	4.91718475668931
PLA2G10	3.71561370645885
ALAS1	6.88170071982392
FOXO1	4.1123158902371
C17orf62	7.10672793951005
KIF5C	4.30301493915455
DUSP10	4.63496688269864
CRLF3	6.5203610259
CLCNKB	3.67318601962329
PSMA5	8.3743585675212
FARS2	5.00196390843239
CCDC28A	5.48083937309447
AMPD3	4.39202675919969
PIAS1	6.57818505092342
ADCYAP1R1	3.67683462596855
TMEM134	7.54168711384367
CDH20	3.25611076618589
FBXO7	7.19806039540456
FLJ14213	3.37902531011635
ZNF3	5.33886896912883
LRRFIP1	6.95432368288217
TMEM49	7.71386284646941
CNOT2	6.70780618478578
CBX2	3.01072187388763
ZC3H14	6.3000007159364
ALDH5A1	6.03461780445165
HNT	3.29826649986718
SERPINA4	3.27928325941703
FLJ20920	6.74166972523479
CRTAP	4.84228847329565
DDX50	6.92836358150923
STYXL1	7.93124609094423
TK2	4.60721053123948
BLVRB	7.04175104684038
STMN1	6.20691046801889
GUCA2A	4.23442145759023
DPP6	3.15582930706002
GALNT10	3.84860966524755
STK39	3.78510679170524
MMP24	4.71103622034065
CKS2	9.03660912612483
RHO	3.79418619080378
BANF1	9.7833598792121
CR1	3.08980443623600
RPS6KA2	4.61054615749769
HMBS	6.46625112926622
C20orf112	3.90300976301712
SLC25A24	5.85914260819616
MRPL22	6.87056875595511
SLC25A15	5.54573397305082
GADD45B	5.23829845696581
TDP1	5.13398535052205
ZNF287	3.85024646203477
DAAM2	4.01770335032849
C11orf57	5.32561358077739
RFK	5.98383089940578
ZFYVE9	4.45314777870181
TCTN3	6.32381289370235
STCH	5.00809277667165
LOC283871	3.69142139526819
NDUFB3	7.80121427771456
DEFB4	3.90901968247856
FPR1	3.68860771526777
FMNL1	4.13269598701688
SEPT7	9.48418947118231
PTCD2	4.94089585332544
GNLY	4.46257191621099
GRAMD1C	4.72552301141333
ZNF165	4.17580352903238
TR2IT1	4.50670297278935
ARMCX3	5.80728121332434
NDE1	5.87809274064227
MAGEF1	7.34685441619447
ITGA10	3.64808488712227
ARHGDIB	7.88204594196679
FSHB	3.80192184594769
ANXA2	11.4607102275648
HLCS	3.88473368238761
MCF2L	5.24993892316696
AK1	7.46409936086425
FH	6.45630176909543
LGALS2	4.54957458921144
SYNPO2L	2.76618311687357
KIAA1045	3.32780205491549
C1orf183	5.20110327938990
MAGEA8	3.22672557028673
DGCR8	5.16303845786343
GSR	5.39232214000947
NEU2	3.51394187559738
HIST1H4B	3.29544441797055
CACNA1C	3.46046814523065
FAM20B	5.85446076171463
HES2	3.64974494865106
PDCD6	8.52928327176394
INTS7	4.48728768270573
AMPH	3.71165920242991
UCKL1	5.65823763750003
ASB4	2.92252669619681
C10orf97	4.4368776047847
ALDH1L1	4.12850729443642
CCL23	3.53142620134158
OBSL1	4.66600680189402
SLC12A7	6.75471668143
THAP4	5.75413700401245
RBM4B	5.59454011212517
OGFRL1	4.43891174973693
KIAA0831	5.17344032102903
C12orf11	6.36187712865735
PPP1R15A	4.19039484428165
KIAA0240	5.61154807859153
CD1B	3.50535146222029
FCGR2A	4.01296325131380
MDC1	5.29561341103385
MAN1A1	3.47550696808125
KRT9	3.66594653476869
HTR1A	3.44709420151919
OCEL1	6.30529945661639
ATP11B	5.15939634594276
NLGN4X	3.86987788833278
FBXO34	7.52826487225924
ALOX12	3.67023168535789
RB1CC1	6.47799339026103
PCDH12	4.51548341336849
RPE	4.54011786696789
EIF4E	5.256684093423
CSDC2	3.86236919487478
ABHD5	5.00221635692407
TMBIM1	5.79404406322566
PET112L	4.70187942039239
P2RXL1	3.3621039502159
F2RL2	3.4432952938737
TRMT1	6.70898786399909
IMPG2	3.66196713211401
LRRC32	5.40099340844822
BGLAP	4.59741438553415
HTR4	3.43393545438966
MRAS	5.56175011678638
TRAF6	4.44400419529494
AXL	4.22807516698543
ATP2C2	3.87393312042011
