Hybridization REF	DITTY_p_TCGA_B_24_AMplate1_2_HT_HG-U133A_96-HTA_D04_547316
Composite Element REF	Signal
SDF4	7.61817912932329
ITGBL1	2.98485249740850
TAP2	4.26383840130319
OR2C1	3.31465985399503
KLHDC3	7.61329667625635
EFHD2	5.89669058576978
GALR3	3.44067517991551
NBEA	4.2275604213545
ABCA6	3.15221210601768
ABBA-1	3.70146965878906
GNAI1	6.00516449921693
CLDN3	9.1136283574738
AKT2	3.28747764073296
EGFR	5.0496948601638
VPS4B	7.80432376430806
RBM16	8.0563946129002
GALNT6	6.75633601521405
ZDHHC3	6.03261229702178
SLC25A4	6.24324518139835
CYB5B	5.41547757875035
NDRG1	7.59787728824406
SESN1	6.27076924896183
GBE1	7.11782348025349
MRPL46	6.5674387893914
CLASP1	5.78790455158728
FARP2	4.37007115541602
ACOT11	3.54873808319498
LDHAL6B	3.04027299631012
MAPKAPK3	6.05442463624582
NCAM2	2.78225339623526
AFAP1	4.33149376989284
PRKD2	5.26541674789762
OR2H2	3.34063291023186
ZFP36L1	7.2912238265708
DZIP1	4.27756154408444
GPR161	4.67841757032524
RNF146	4.48099932454448
NKX3-1	3.94602840033878
CCNB2	7.73334701646189
ZNF10	3.45661448329366
WDR74	6.15744547353863
FAM134A	8.09859501168085
PCNP	8.7513301367152
PURA	5.08279939786087
DNPEP	7.3523791684427
ERBB2	5.12851736325572
CREB1	6.24727738117901
NEO1	6.82027889761569
DDX3Y	3.30001440581005
RPS3A	12.6853022022090
MXRA7	8.54184861096139
LGALS3	10.0460931826100
GLT8D1	7.71255796108447
TMPRSS3	7.18283198612378
UPB1	3.37949550470893
LAT	3.82856216642575
CLDN14	3.5320686027387
DHX38	4.41273057235796
KCNA3	3.18446859802425
BTBD1	7.92547222257308
TARS2	6.34946468500134
SKIV2L2	7.47758276303218
ABCF1	8.32174316728946
CDT1	3.13817178734448
ZHX2	6.88478314081908
FCF1	4.90521244515892
LRRC49	4.75386207026703
GUCY1B2	3.44527052415413
CD28	3.30966771704611
SMARCA4	6.41297834403777
SEPT2	9.31126535127331
SOHLH2	4.77333251248891
MCOLN3	3.99733705825089
LRP8	4.93622761569255
TAGLN3	3.81010098280330
MASP2	3.44173045693558
GPATCH3	4.32890333216356
TTRAP	8.57827190533217
AGL	6.72716753224917
NFE2L3	4.37734333522707
PSD4	4.29579947668362
PALMD	7.1058260444349
CCNB1IP1	9.3689514641959
TMEM43	7.07022087333504
OBFC1	5.88356453538016
STAT5B	4.59471516036621
C14orf79	4.4804747949693
ENPEP	3.87797651780489
SSB	8.32688258435584
SCT	2.92995852527449
TIMM23	7.17435732560112
SKI	3.34122113569912
SLC22A13	2.96920100077844
AKAP3	4.92434597159844
OAS2	5.35131009806863
KIAA0423	4.5390455422165
SEC61G	9.8575715946135
CAPN11	3.22801834103734
TMEM50B	7.17505410319288
DEGS1	7.81818368035808
ARHGEF4	3.60889007789554
