Hybridization REF	CELLS_p_TCGA_B13__RNA_HT_HG-U133A_96-HTA_C08_452026
Composite Element REF	Signal
ADAM29	3.18306938572794
ST7L	4.58882487180308
GFOD1	5.1626121411832
CTNNA1	8.79666526867897
HRBL	3.88411917600479
CBX4	3.53879802406732
NTRK2	3.62706737297260
FOXN3	4.85233052635863
MFGE8	7.05989562842585
PFKFB2	3.46504358402413
TAS2R4	3.47751186397413
SH3TC2	3.32453986565466
IL10	3.29877648377956
PXMP4	4.69077650542401
RNF167	5.90652255165611
PRMT5	7.26022569058914
TSKU	5.81353353940492
ATPIF1	7.99865627591098
ETV3	3.30581224792036
PAK7	3.18381965702585
PDLIM1	9.31865092657848
CEP63	4.90016035194579
WDFY3	5.1567190012111
RNF126	4.66374614555400
DPM1	7.87620328637219
CLIC4	5.59316187630604
ACR	3.83816520991779
KLK7	6.97466306589961
ALOX5AP	7.52589173988506
LRP1	5.71678817343268
TNK1	4.76839687336421
TAS2R9	3.10364174656374
ZNF16	5.41124072012113
POLR1B	5.86325663704613
SLC8A2	3.57176190025358
OLFM4	2.87644528290781
TACC1	5.71291149502705
SAMHD1	4.42054328052962
ATP13A2	4.46960965006093
KRT4	3.34864212235664
PAX6	3.68714626265982
SCG2	3.39622298429786
SLC17A6	3.21937446018139
TUBB4	3.63805127067022
PADI4	3.07509276510567
FMO3	2.92916872509932
NLK	4.04916172221402
POU4F3	3.35408294884663
MDM2	3.39382693529294
CAPNS1	9.2530233826157
SDF4	6.41669742343662
ITGBL1	4.38344208058064
TAP2	3.8723011964059
OR2C1	3.37798600145130
KLHDC3	5.59328100694771
EFHD2	5.16125446280445
GALR3	3.71875777795945
NBEA	4.74685870982536
ABCA6	3.37729911244109
ABBA-1	3.81149366346515
GNAI1	4.7296590143508
CLDN3	6.94225291139276
AKT2	3.35746260442733
EGFR	4.77495099765653
VPS4B	6.96455636196945
RBM16	7.13913755891223
GALNT6	4.3956304895147
ZDHHC3	4.95411420020407
SLC25A4	6.43260803578386
CYB5B	5.23298252605915
NDRG1	7.68396286496211
SESN1	6.01117981409558
GBE1	7.35664512778423
MRPL46	5.73477783032388
CLASP1	5.009086235347
FARP2	4.17474285752476
ACOT11	4.2186535425147
LDHAL6B	2.92229847878782
MAPKAPK3	5.62269856669474
NCAM2	3.26440007542131
AFAP1	4.65795688509779
PRKD2	5.7690731854289
OR2H2	3.45384394605887
ZFP36L1	7.7311073724354
DZIP1	5.72199552830513
GPR161	4.50967776597546
RNF146	5.41576961561331
NKX3-1	4.08984936131439
CCNB2	4.81891787902814
ZNF10	3.87765353385331
WDR74	5.31878288989653
FAM134A	7.05713354970348
PCNP	8.1756934467642
PURA	5.53092147769713
DNPEP	6.2538727257912
ERBB2	5.12273432955279
CREB1	5.39255365846075
NEO1	4.52149105554713
DDX3Y	3.28586739661790
RPS3A	12.5290421776164
MXRA7	9.4138008010741
LGALS3	10.4287345820172
GLT8D1	7.35573606773761
TMPRSS3	7.7997517651644
UPB1	3.24656027353541
LAT	3.84692148049571
CLDN14	3.81058163651267
DHX38	4.84138026000278
KCNA3	3.24711465741627
BTBD1	8.12355026080846
TARS2	5.01179267689269
SKIV2L2	7.59569353597566
ABCF1	6.54566681666635
CDT1	3.16800179489931
ZHX2	6.16410377548739
FCF1	4.76235152072464
LRRC49	5.62259133551978
GUCY1B2	3.74039964345493
CD28	3.23521358821113
SMARCA4	5.97094432144691
SEPT2	8.52694762371606
SOHLH2	3.51031869355187
MCOLN3	4.21275032374674
LRP8	4.18962144485165
TAGLN3	3.85175780878204
MASP2	3.63703286860231
GPATCH3	4.18572099906901
TTRAP	7.68919725788307
AGL	6.52039316030913
NFE2L3	5.10491990705409
PSD4	3.96225777339531
PALMD	6.14843623918165
CCNB1IP1	8.47393051416026
TMEM43	7.52626711314411
OBFC1	6.28640180608571
STAT5B	4.58090776319822
C14orf79	4.77023267594678
ENPEP	3.53763751993543
SSB	7.60892458485501
SCT	3.36759338342298
TIMM23	5.57514323297594
SKI	4.09522492675091
SLC22A13	3.08036392773484
AKAP3	3.54804719165903
OAS2	3.94325884436299
KIAA0423	6.50106695251299
SEC61G	8.62393338468152
CAPN11	3.22725295497649
TMEM50B	5.80282151827529
DEGS1	7.09393588821303
ARHGEF4	3.64921330072720
DBNDD1	4.66795361441552
