Hybridization REF	PSHAW_p_TCGA_Batch11_RNA_HT_HG-U133A_96-HTA_C10_433694
Composite Element REF	Signal
VPS4B	6.82832023548116
RBM16	8.56882569109783
GALNT6	6.35567666196856
ZDHHC3	5.8544356501354
SLC25A4	5.86506680490149
CYB5B	5.06599850397939
NDRG1	7.22309698503118
SESN1	5.30726961141974
GBE1	5.8685577058782
MRPL46	6.01692047710303
CLASP1	5.96545923660944
FARP2	4.15806692624734
ACOT11	3.73914637054862
LDHAL6B	3.12566113872958
MAPKAPK3	5.78108911878935
NCAM2	3.04592359953313
AFAP1	4.02637265185985
PRKD2	6.12678653976852
OR2H2	3.41968043111409
ZFP36L1	7.65550582949173
DZIP1	4.69057074898593
GPR161	5.39585990914912
RNF146	4.21152726794388
NKX3-1	3.94132795805842
CCNB2	8.24004114042256
ZNF10	4.23954536016717
WDR74	6.52113984393346
FAM134A	7.8099605126346
PCNP	8.5804764170107
PURA	5.05675677064087
DNPEP	7.66141778777186
ERBB2	5.48330654189083
CREB1	5.68598204158207
NEO1	7.05294377004097
DDX3Y	3.32814581488865
RPS3A	12.5299721284811
MXRA7	10.1474732584389
LGALS3	10.4227492772208
GLT8D1	7.08034587186637
TMPRSS3	7.76283912291357
UPB1	3.22042320336885
LAT	3.80165231826883
CLDN14	3.68328678566985
DHX38	4.71149694418357
KCNA3	3.35197039277086
BTBD1	8.31195156875426
TARS2	6.29296933149614
SKIV2L2	7.55572574317205
ABCF1	7.46434931110836
CDT1	3.25312800853082
ZHX2	5.82096598383313
FCF1	4.66924192031301
LRRC49	4.27910653154274
GUCY1B2	4.05056211782803
CD28	3.22887519142304
SMARCA4	7.37265148076175
SEPT2	8.2321935616348
SOHLH2	3.26072331600818
MCOLN3	3.76701742562941
LRP8	6.75952565934619
TAGLN3	3.88039113004784
MASP2	3.70616641925099
GPATCH3	3.95827631093342
TTRAP	8.27685706501986
AGL	7.11258458759293
NFE2L3	5.06179109306106
PSD4	3.85587534046653
PALMD	5.08380959766088
CCNB1IP1	8.55508606662912
TMEM43	8.41563694924032
OBFC1	5.1009072365499
STAT5B	4.57385575442003
C14orf79	5.94409540942771
ENPEP	3.59304330589991
SSB	8.6976794300136
SCT	3.01392048937706
TIMM23	7.20906003882427
SKI	4.00175831059652
SLC22A13	3.12150268981523
AKAP3	3.95751718739388
OAS2	6.66036123680765
KIAA0423	6.36042489354447
SEC61G	8.88954434658481
CAPN11	3.15681819935828
TMEM50B	7.30098368178695
DEGS1	7.59794285317163
ARHGEF4	3.78058572159943
