Hybridization REF	FEAST_p_TCGA_B20_21_Expression_HT_HG-U133A_96-HTA_H05_516360
Composite Element REF	Signal
AK1	5.58413491219157
FH	6.69180942590958
LGALS2	3.70324797346540
SYNPO2L	2.63906840217881
KIAA1045	3.52172574809471
C1orf183	4.31212279508796
MAGEA8	3.23652812027292
DGCR8	4.12073906361275
GSR	4.23187097196004
NEU2	3.12876387008204
HIST1H4B	3.63466949047240
CACNA1C	3.11631460923314
FAM20B	5.7787316778462
HES2	3.31360258482362
PDCD6	9.09102435008785
INTS7	5.65832438068757
AMPH	5.66613545727887
UCKL1	5.81557288039013
ASB4	3.20130702720464
C10orf97	5.1886181216618
ALDH1L1	4.0576128542845
CCL23	3.4662182639408
OBSL1	5.18447571099209
SLC12A7	6.31290496889572
THAP4	6.55421597438164
RBM4B	5.370836906541
OGFRL1	4.28373865531409
KIAA0831	5.86986979504522
C12orf11	7.87418835237241
PPP1R15A	4.81719681412805
KIAA0240	4.93194461287485
CD1B	3.47566046209980
FCGR2A	6.13194987852454
MDC1	5.40612350184382
MAN1A1	3.91845628883184
KRT9	3.50431274855618
HTR1A	3.34466420223122
OCEL1	4.98178021847441
ATP11B	5.04415228105966
NLGN4X	4.47653732826073
FBXO34	7.3809803184687
ALOX12	3.46116491259684
RB1CC1	6.51507922900585
PCDH12	4.65919914916775
RPE	5.75605864893417
EIF4E	7.20357622618109
CSDC2	3.76418915401587
ABHD5	4.84565744166797
TMBIM1	6.79026168203675
PET112L	5.80619971902484
P2RXL1	3.16763007510368
F2RL2	3.34693406410037
TRMT1	4.89497555092902
IMPG2	3.65579240818253
LRRC32	6.05923865876285
BGLAP	5.32588665276925
HTR4	3.46468147221959
MRAS	4.51963817229953
TRAF6	4.84452226867059
AXL	4.97039399434065
ATP2C2	3.54082793357829
LMNB1	5.52867038701416
TELO2	4.39388479077003
PNPLA3	3.57941423366937
CSNK1E	5.65349807379812
SRP14	10.0531315929727
KCNQ4	3.46650232509061
PIK3C2B	5.13660411815555
C15orf15	8.26115676779774
TUBB2B	3.18359934126742
USP15	5.45306612061280
C12orf41	6.95496960339904
CEND1	3.79889881263638
RNF31	4.91468576571195
TCEAL2	4.86237468159495
PTGER2	4.204607410562
UBN1	5.82607254264684
SLC5A7	3.36789367558485
SLC31A1	6.19831314009832
ADAM29	3.60292909237477
ST7L	4.22325949380239
GFOD1	5.54201670470633
CTNNA1	8.6990475217669
HRBL	3.60113703769811
CBX4	3.73259961267326
NTRK2	3.60840745781566
FOXN3	4.98037172804634
MFGE8	5.61592963296238
PFKFB2	3.84989917497259
TAS2R4	3.457770122866
SH3TC2	3.24040485670489
IL10	3.54905783926012
PXMP4	5.8285388273782
RNF167	5.84808486344498
PRMT5	7.39100490950115
TSKU	5.90928306787117
ATPIF1	7.88576460047972
ETV3	3.34332955197162
PAK7	3.07484605833938
PDLIM1	8.35167835847367
CEP63	4.68371309303014
WDFY3	4.55045159443268
RNF126	4.21497775316444
DPM1	8.44041564415457
CLIC4	6.89863736547363
ACR	3.65018215871234
KLK7	8.29381681166993
ALOX5AP	8.25308327286118
LRP1	5.14057938861636
TNK1	3.98409132259664
TAS2R9	3.1386970897952
ZNF16	5.67547060251177
POLR1B	4.91474077624063
SLC8A2	3.79781556461600
OLFM4	2.87663375537995
TACC1	4.77514687468166
SAMHD1	6.26759353450749
ATP13A2	4.62501259381052
KRT4	3.66351043857602
PAX6	3.56996555717576
SCG2	5.67280697157706
SLC17A6	3.24764883842922
TUBB4	3.74898789105949
PADI4	3.05373302544955
FMO3	3.21136090689556
NLK	3.89159571646836
POU4F3	3.35459335458769
MDM2	3.48006770945083
CAPNS1	9.06144107467288
SDF4	7.49255210905061
ITGBL1	4.80717329694611
TAP2	4.16033940002273
OR2C1	3.92290546648056
KLHDC3	7.27991006487802
EFHD2	5.5131096323002
GALR3	3.77533217458995
NBEA	3.55962518738964
ABCA6	3.3157508934568
ABBA-1	3.78348707685867
GNAI1	5.3817135066371
CLDN3	7.90426425574158
AKT2	3.31401462875963
EGFR	4.1542127189826
VPS4B	6.64736114532743
RBM16	7.03724530642344
GALNT6	4.63738262461106
ZDHHC3	5.45606483826074
SLC25A4	7.02811835908616
CYB5B	5.77480344419319
NDRG1	8.6581890328814
SESN1	4.77860375945965
GBE1	7.14890988792494
MRPL46	6.09159534559701
CLASP1	4.9385426251667
FARP2	4.5284004539745
ACOT11	3.44100612165945
LDHAL6B	3.00727147295379
MAPKAPK3	5.48913991665508
NCAM2	3.03025963437277
AFAP1	4.18477714752003
PRKD2	5.48596869186825
OR2H2	3.38664810160896
ZFP36L1	6.77866511358083
DZIP1	4.1662001741421
GPR161	3.81206397540070
RNF146	5.18764067782906
NKX3-1	4.03660493428352
CCNB2	7.96775035987437
ZNF10	3.78596484297799
WDR74	5.70278164876478
FAM134A	8.28017039812522
PCNP	8.03182418444028
PURA	4.75820247180172
DNPEP	7.59429270779887
