Hybridization REF	AGARS_p_TCGA_B12_RNA_ReDo_HT_HG-U133A_96-HTA_A04_443068
Composite Element REF	Signal
E2F4	5.15576261576851
CLEC4M	3.52163027033259
KIAA0999	4.59300032172104
CLDN10	5.85894216464172
MGC13053	4.31918573770211
TAC1	2.85077181332820
GYPA	3.38316307381911
HPCAL4	3.31628001236301
TRAIP	3.71750166176827
MEX3D	3.85468084980739
KIAA0232	7.36902510749363
ERCC8	4.40953570184645
NFAT5	5.49250785766128
GPX4	8.4135970706692
CSPG4LYP1	3.43779168705957
KIAA0368	6.50248111881074
FBXO3	5.18348909504871
DVL1	6.6383322770185
CMKLR1	3.85317570541651
GPR157	4.01168469407589
TYMS	6.7182527447623
OR52A1	2.93869319031294
PEF1	5.80704708941116
ZNF750	3.02106383883807
ALG9	4.94857951079365
MCM5	5.00455104239684
SDK2	3.63932094442157
BAIAP3	4.01303517698713
RABGGTB	6.29562784318895
KCNK7	3.47624423335015
PTP4A3	5.55799076739728
ANKRD40	3.80254476335658
CALCOCO2	6.65550102540189
TMSL8	4.52580525762442
SNCA	4.24579726695541
ZNF551	3.90160431131993
HBQ1	3.74782010303747
ARHGAP26	4.36184393879551
GEMIN6	5.10261635198846
HRAS	5.18458769777796
KLRC4	2.76734573983973
BSDC1	5.91899422241171
DSC1	3.76890090736107
RNF43	5.12271000402308
NDUFAF1	5.64809586175502
MAP2K4	4.39615986440302
FOLR2	5.48902718558055
LYZL6	3.68399048389210
EPB41L3	3.59694906012272
TEKT2	4.01042105284345
CDKN2B	3.71267749442348
WSB1	6.23207100655529
ZNF480	3.44422756742515
MAP3K6	4.58608236096298
PROS1	5.46140925128641
PSMB8	7.41410143806972
HN1	6.81009558790273
MAS1	3.55484116841226
APOL1	7.18279728948288
CSHL1	3.39002643372493
ZBTB7C	2.93178108068498
AHCTF1	6.0515956344646
SAE2	8.03021247796547
ITGA2	4.57789691948030
AP2S1	8.34768191786162
P15RS	5.12925990229152
MME	3.60767955677277
VAT1	7.09003034026605
MAST4	5.33585222934706
TUFM	8.39169959434165
KRT33B	3.71275787738568
THEG	4.07138412559133
KCTD2	5.06506863876025
WDR26	8.24375595980275
MFI2	3.45166729100329
KRT34	2.94308925473349
NR4A3	3.71841497668542
SGSM3	4.27853027949416
ARSA	3.9289420077127
TOMM22	4.54223674442834
SOCS3	3.72277689391587
UNKL	4.01788307761398
POP4	6.96043613051365
BHLHB3	5.31867423132312
MALL	4.35487000674007
SOX15	5.46201891819291
CCNA2	3.81038247053491
PARK2	3.38691117829377
GPR124	5.35228230689402
TMEM132A	4.62824171402144
CGRRF1	4.68097207677378
RUVBL2	7.23192222797651
MCAT	5.22018212784872
WNT10B	3.69673325938506
ISCA1	6.31812584950259
RPAP1	4.43423803471729
C12orf48	4.77242996229091
RAI16	5.80419060982509
RPL27	9.67695984526143
EPN1	3.8687666127924
MAGI1	2.98895783977945
GBX2	3.29278753344908
SLC35A1	5.74395045021707
GAL	3.69534948168745
SLC14A2	3.67981037577142
RDH11	6.25867744626686
ZNF518	4.36378974237372
PCYT1B	3.26432819562774
AUH	7.0500656803522
EIF3H	10.1899611584681
KIF1B	5.41884974194103
MBD2	4.4800193742864
AMOTL2	7.91903551664903
C6orf120	5.37811383869527
PIGT	6.79237318829778
PSRC1	6.0483378627371
PLA2G10	3.78761087223306
ALAS1	6.17196319881373
FOXO1	5.97030893862209
C17orf62	6.95046165408142
KIF5C	4.02305989569157
DUSP10	4.91483792901598
CRLF3	7.41285950161844
CLCNKB	3.44235672197135
PSMA5	8.26308376401025
FARS2	5.31109028030556
CCDC28A	6.26910627076882
AMPD3	4.63057975626112
PIAS1	6.84124117084961
ADCYAP1R1	3.68426161376241
TMEM134	6.18674447068772
CDH20	3.09039336083823
FBXO7	7.5395550047292
FLJ14213	3.30335699036087
ZNF3	4.70143063284025
LRRFIP1	6.75221238765942
TMEM49	8.78778391916876
CNOT2	6.54620398023228
CBX2	3.01405640725562
ZC3H14	5.63745581605632
ALDH5A1	4.96919766259526
HNT	5.00889361493064
SERPINA4	3.27995156837459
FLJ20920	5.47696790042099
CRTAP	5.10890502163351
DDX50	7.12430072480961
STYXL1	5.65963099986975
TK2	4.87177704927502
BLVRB	6.18283744054165
STMN1	6.42302496616182
GUCA2A	3.48547630818724
DPP6	3.24256386209994
GALNT10	4.49959471353870
STK39	6.13915645546506
MMP24	4.69521065912086
CKS2	9.7984689334981
RHO	3.85306745491484
BANF1	8.00194467245042
CR1	3.12737898431151
RPS6KA2	5.40647479093463
HMBS	5.57882228405634
C20orf112	3.73335487854442
SLC25A24	7.33768763561341
MRPL22	7.84297072041653
SLC25A15	4.7718842530145
GADD45B	5.64172456249079
TDP1	4.6387529659583
ZNF287	3.31168208162617
DAAM2	4.76553984513373
C11orf57	5.29061836925608
RFK	6.99653055318234
ZFYVE9	4.20731525551791
TCTN3	5.44543333122655
