Hybridization REF	DITTY_p_TCGA_B_24_AMplate1_2_HT_HG-U133A_96-HTA_B08_547200
Composite Element REF	Signal
DGCR8	4.61260498262657
GSR	5.2526699073755
NEU2	3.20814622609692
HIST1H4B	3.37398808932284
CACNA1C	3.14635160956838
FAM20B	7.24952899565143
HES2	3.03600436907771
PDCD6	8.85336143559397
INTS7	6.1765056957929
AMPH	3.73129406459344
UCKL1	6.17563391053021
ASB4	3.06025575385450
C10orf97	5.24336475694637
ALDH1L1	3.84681390717311
CCL23	3.10471871467659
OBSL1	6.03843979613409
SLC12A7	7.51099687055624
THAP4	6.29871063089942
RBM4B	5.88536924779621
OGFRL1	4.50478759530869
KIAA0831	6.42399311617863
C12orf11	7.22204531859506
PPP1R15A	7.09467775356202
KIAA0240	5.13461134944676
CD1B	3.04490501540064
FCGR2A	5.11874150955528
MDC1	4.55657247453286
MAN1A1	3.75768064845429
KRT9	3.27016355862749
HTR1A	3.27029432827603
OCEL1	5.09321443897191
ATP11B	6.44554952053957
NLGN4X	4.10586535932035
FBXO34	8.32005639796776
ALOX12	3.55308234629641
RB1CC1	6.96177626508038
PCDH12	4.28698591807021
RPE	5.30200322520324
EIF4E	6.2725490595951
CSDC2	3.81802087539132
ABHD5	5.3281403351011
TMBIM1	6.66477527020708
PET112L	4.52896339318734
P2RXL1	3.0984072325359
F2RL2	3.21279410173862
TRMT1	5.90550498854158
IMPG2	3.66946804227442
LRRC32	6.02813488797873
BGLAP	5.28301655027485
HTR4	3.2370431789543
MRAS	5.95019277416394
TRAF6	5.37347321613169
AXL	4.93953671050572
ATP2C2	3.55621578270875
LMNB1	4.84093097966005
TELO2	4.76525705870875
PNPLA3	3.9486749460532
CSNK1E	6.22604346080667
SRP14	10.2451199091949
KCNQ4	3.45103801024607
PIK3C2B	6.08574782294973
C15orf15	7.88328727494163
TUBB2B	2.99683169885263
USP15	6.02040216809768
C12orf41	7.13258695843051
CEND1	4.34041287508986
RNF31	5.61252602007737
TCEAL2	3.76646845158
PTGER2	6.35650744858055
UBN1	7.16318406799459
SLC5A7	3.30204409797381
SLC31A1	6.15229381801996
ADAM29	3.30224816550749
ST7L	4.40353427667411
GFOD1	5.97473613896009
CTNNA1	8.26034659518051
HRBL	4.1871528404055
CBX4	3.79417329774193
NTRK2	3.85433805325655
FOXN3	5.7825787617178
MFGE8	7.40001477817354
PFKFB2	3.81366485593289
TAS2R4	3.40919176243335
SH3TC2	3.29157683415206
IL10	3.48992033772568
PXMP4	6.04898318998038
RNF167	5.95399808399031
PRMT5	7.69110857341168
TSKU	5.1272216842445
ATPIF1	7.98874327343617
ETV3	3.33092015966805
PAK7	2.88849160109502
PDLIM1	8.38168987825361
CEP63	5.30687496146185
WDFY3	4.92500853069258
RNF126	5.34598814722377
DPM1	8.25462729397462
CLIC4	6.08892132598766
ACR	3.68935244484327
KLK7	10.1283184910621
ALOX5AP	6.94586815319933
LRP1	5.95130357109107
TNK1	4.4784509321246
TAS2R9	2.94954212844150
ZNF16	6.29211418980559
POLR1B	6.52101292658899
SLC8A2	3.69924794189330
OLFM4	2.79884355246113
TACC1	5.93055941194905
SAMHD1	7.50912863887208
ATP13A2	4.90380343962339
KRT4	4.10917881949033
PAX6	3.64744645881454
SCG2	4.59754964622189
SLC17A6	3.19395797636959
TUBB4	4.14334942409732
PADI4	3.13201155890357
FMO3	3.06210066661291
NLK	4.41648495283366
POU4F3	2.97149356163359
MDM2	3.46186496477524
CAPNS1	9.34077089045879
SDF4	6.60065397148307
ITGBL1	4.76855972194843
TAP2	4.03770479103752
OR2C1	3.43227822066750
KLHDC3	5.80986192030458
EFHD2	5.65813737505672
GALR3	3.37179365715083
NBEA	5.37498691559228
ABCA6	3.37365972790409
ABBA-1	3.90857174363288
GNAI1	6.26999925978185
CLDN3	8.62679240568723
AKT2	3.37868883387662
EGFR	4.689130591692
VPS4B	6.98454710220024
RBM16	7.77074766129463
GALNT6	6.33770995442263
ZDHHC3	5.83840395674614
SLC25A4	5.68602448082097
CYB5B	5.38193023610003
NDRG1	8.72050511169007
SESN1	5.10912269277196
GBE1	6.62106499653192
MRPL46	6.19150431758447
CLASP1	6.449044084008
FARP2	5.57812572428323
ACOT11	4.00894779736341
LDHAL6B	2.88358970433527
MAPKAPK3	5.53169283264487
NCAM2	3.03665842126483
AFAP1	4.46204139177022
PRKD2	7.09751844380897
OR2H2	3.15526001626110
ZFP36L1	9.24443221595701
DZIP1	6.47137281879287
GPR161	5.94111147399969
RNF146	4.75385319727419
NKX3-1	3.96995584672288
CCNB2	7.47980221597815
ZNF10	4.48217303255439
WDR74	5.69700264176332
FAM134A	8.00738936844165
PCNP	8.27196334497881
PURA	5.60460220431167
DNPEP	7.15064026136649
ERBB2	5.42136130900218
CREB1	5.84504013400181
NEO1	5.93585124859304
DDX3Y	3.17927586513922
RPS3A	12.1371038745286
MXRA7	10.1624514139818
LGALS3	11.3493782920594
GLT8D1	7.37339050604162
TMPRSS3	8.56323829129725
UPB1	3.16138964227366
LAT	4.71223520308282
CLDN14	3.53560738453128
DHX38	4.81714996169221
KCNA3	3.52760073131939
BTBD1	7.93022786319742
TARS2	6.05113939146434
SKIV2L2	7.92195050252887
ABCF1	7.0823015863425
CDT1	3.06909684819708
ZHX2	6.08562659805496
FCF1	5.05706808747805
LRRC49	4.37836762690071
GUCY1B2	3.91660469407542
CD28	3.33020036363296
SMARCA4	6.48725124438422
SEPT2	9.38417230595672
SOHLH2	3.19988108625384
MCOLN3	3.7932273269511
LRP8	6.04082280336828
TAGLN3	3.82300603278411
MASP2	3.66964601674905
GPATCH3	4.02320426345217
TTRAP	7.47570399651177
AGL	8.02509375936953
NFE2L3	5.04662412524831
PSD4	3.92466655301989
PALMD	7.92179336837127
CCNB1IP1	7.76603355144355
TMEM43	7.34454027403677
OBFC1	7.00306353963813
STAT5B	4.55488436810601
C14orf79	4.8139065175569
ENPEP	4.35847548234207
SSB	8.2661135340078
SCT	3.18137264327938
TIMM23	6.6192071160209
SKI	3.68086040095233
SLC22A13	3.03935752416955
AKAP3	3.53690098796012
OAS2	6.7491309458667
KIAA0423	7.20023261400631
SEC61G	9.36513525010134
CAPN11	3.12807552769979
TMEM50B	7.39604864644007
DEGS1	7.99702843524173
ARHGEF4	3.64971304872253
