Hybridization REF	IDYLS_p_TCGA_Batch40_PopMarius_0810_HT_HG-U133A_96-HTA_C12
Composite Element REF	Signal
LDHAL6B	2.89378052302556
MAPKAPK3	5.9024121026818
NCAM2	3.11385930320958
AFAP1	4.40139530013636
PRKD2	5.31287866328326
OR2H2	3.25839997754112
ZFP36L1	6.15456998856205
DZIP1	5.22754220730332
GPR161	3.72765917303329
RNF146	4.12326054514321
NKX3-1	3.93571288405833
CCNB2	7.84558231444302
ZNF10	3.76031671541252
WDR74	6.44471186402555
FAM134A	7.30281265311483
PCNP	9.83477829393994
PURA	5.5215356249094
DNPEP	6.66887795282083
ERBB2	4.81252047396387
CREB1	5.36630633755398
NEO1	5.6774128675748
DDX3Y	3.3912216902224
RPS3A	13.0421843791467
MXRA7	9.11942466132025
LGALS3	9.23254052492988
GLT8D1	6.92404525983503
TMPRSS3	6.99049388190645
UPB1	3.24087836583436
LAT	4.34258269320118
CLDN14	3.61235773219070
DHX38	4.46233813501223
KCNA3	3.30365297900284
BTBD1	8.38766646790685
TARS2	5.6103233387362
SKIV2L2	8.45267422310089
ABCF1	6.35806789387957
CDT1	3.25063671809827
ZHX2	7.59699988600647
FCF1	4.99800723723955
LRRC49	5.21331918570648
GUCY1B2	4.34316646385423
CD28	3.47581121913433
SMARCA4	5.27177631622052
SEPT2	8.69909688787075
SOHLH2	3.31345506164448
MCOLN3	4.21904130771285
LRP8	6.42721231583644
TAGLN3	3.94500724556394
MASP2	3.67510303312145
GPATCH3	3.9807060705695
TTRAP	7.95194142107675
AGL	7.86219729860845
NFE2L3	6.51585512931995
PSD4	3.25878496902151
PALMD	4.46403490283027
CCNB1IP1	9.0989481758658
TMEM43	6.92914804200193
OBFC1	6.64324561849098
STAT5B	4.82839636384383
C14orf79	5.20383114226614
ENPEP	3.87985982086322
SSB	8.49234147496094
SCT	3.00151952612817
TIMM23	7.46951177794076
SKI	3.92564489160059
SLC22A13	3.26181000053751
AKAP3	4.45957570163407
OAS2	4.8364485712705
KIAA0423	6.51758205115163
SEC61G	9.90794118750127
CAPN11	3.19801556832415
TMEM50B	7.73635960643242
DEGS1	7.51173552513604
ARHGEF4	3.34860552011345
