Hybridization REF	BONES_p_TCGA_Batch8_9_RNA_HT_HG-U133A_96-HTA_A11_297970
Composite Element REF	Signal
RUVBL2	8.62561454298366
MCAT	6.45625864807278
WNT10B	3.78438992771447
ISCA1	8.26412456449896
RPAP1	4.1088994398904
C12orf48	4.97100345749106
RAI16	4.73308754369939
RPL27	9.73152485812768
EPN1	4.06972509266114
MAGI1	2.96140685852470
GBX2	3.47741094414867
SLC35A1	7.16115541542633
GAL	4.04180985669867
SLC14A2	3.60688839000921
RDH11	7.10746134200016
ZNF518	3.71430715493149
PCYT1B	3.38742890462709
AUH	7.73097536795073
EIF3H	11.4571616640472
KIF1B	7.65344176479734
MBD2	4.86130002151076
AMOTL2	6.7837962812406
C6orf120	6.26420919949226
PIGT	8.0587399146101
PSRC1	6.11044332403474
PLA2G10	3.65972615079869
ALAS1	7.61182765455722
FOXO1	6.8012354969814
C17orf62	6.55591726327789
KIF5C	4.524092581968
DUSP10	5.79135220457366
CRLF3	7.21460193678823
CLCNKB	3.65851484868379
PSMA5	9.85239530125802
FARS2	5.13517271542558
CCDC28A	6.66563854779687
AMPD3	4.81713727222899
PIAS1	6.32069878965319
ADCYAP1R1	3.40107637452218
TMEM134	6.36045811606779
CDH20	2.91712901959468
FBXO7	8.35161716797861
FLJ14213	4.07101612580131
ZNF3	4.69097647980603
LRRFIP1	5.66073562696139
TMEM49	8.493728673613
CNOT2	6.26399824720313
CBX2	2.95674419575885
ZC3H14	5.62114718301834
ALDH5A1	4.87253464274554
HNT	3.56740954291936
SERPINA4	2.90950172546842
FLJ20920	5.17053254553369
CRTAP	5.85416415083709
DDX50	8.55726701033728
STYXL1	7.30208971229247
TK2	4.67513383801923
BLVRB	6.35301729518374
STMN1	7.10021670166857
GUCA2A	3.34428479938134
DPP6	3.14632907756499
GALNT10	4.61199341616844
STK39	6.08827420929794
MMP24	4.64515683780009
CKS2	10.3506002711300
RHO	3.62847034888299
BANF1	8.98121980993096
CR1	3.09748324093869
RPS6KA2	4.92765599968583
HMBS	6.51511677635517
C20orf112	3.7222054003111
SLC25A24	7.58776435663404
MRPL22	9.4093844614822
SLC25A15	5.91073284120396
GADD45B	4.91984424519858
TDP1	5.20910422649351
ZNF287	3.54101517684191
DAAM2	3.92909222325482
C11orf57	4.73135653165819
RFK	7.45502752582376
ZFYVE9	4.06425233525837
TCTN3	6.5090911770429
STCH	6.05268843752335
LOC283871	3.43425865420523
NDUFB3	8.4002206961608
DEFB4	6.63413990301634
FPR1	4.08739113281947
FMNL1	3.85842945617185
SEPT7	9.5560240682741
PTCD2	5.18016655234864
GNLY	3.71823800500444
GRAMD1C	4.16842713427016
ZNF165	4.98129411969632
TR2IT1	4.16919377524231
ARMCX3	7.34517808588828
NDE1	4.90318468153874
MAGEF1	7.39498909751076
ITGA10	3.61376698692230
