Hybridization REF	LENOS_p_TCGA_Batch18and19_HT_HG-U133A_96-HTA_C08_491130
Composite Element REF	Signal
DPM1	8.95067771853922
CLIC4	6.20764978617785
ACR	3.66725287823655
KLK7	9.8949902559302
ALOX5AP	8.2339279829959
LRP1	4.58611673039456
TNK1	5.29650191036846
TAS2R9	3.42701123822224
ZNF16	7.54736632517884
POLR1B	5.33331916448387
SLC8A2	3.70872828697798
OLFM4	5.25651234952305
TACC1	5.91231247816846
SAMHD1	6.01460676077937
ATP13A2	5.37718047216323
KRT4	4.5692587956222
PAX6	3.4930276646833
SCG2	3.67466630832419
SLC17A6	3.53786166388126
TUBB4	3.78714243554986
PADI4	2.99611484475811
FMO3	3.32622140418411
NLK	3.44572593359483
POU4F3	3.25599325060211
MDM2	3.47470967442423
CAPNS1	10.1972489446238
SDF4	7.25647894850229
ITGBL1	5.25508895332448
TAP2	4.15455793679157
OR2C1	3.34897163579493
KLHDC3	6.30841722207564
EFHD2	6.03063329439961
GALR3	3.86245281779356
NBEA	3.81444164907433
ABCA6	3.35733185002809
ABBA-1	3.59093911321424
GNAI1	4.27711965283037
CLDN3	8.88058151649258
AKT2	3.36861715892852
EGFR	4.62530228323682
VPS4B	8.0225256262607
RBM16	7.2652272943524
GALNT6	6.61131111692846
ZDHHC3	6.11617355262248
SLC25A4	6.57002104977538
CYB5B	5.04222980969117
NDRG1	9.34932064889098
SESN1	6.47911994621294
GBE1	7.03919819408996
MRPL46	5.90833938355517
CLASP1	5.82849999269051
FARP2	5.09982966513407
ACOT11	3.84219580703950
LDHAL6B	2.96727261677928
MAPKAPK3	6.6718719777889
NCAM2	3.27482671313084
AFAP1	4.72000862505693
PRKD2	6.62647728152723
OR2H2	3.26407286453912
ZFP36L1	8.33572645163924
DZIP1	3.92187552325751
GPR161	3.83276236721859
RNF146	4.10998093780959
NKX3-1	3.91879755830578
CCNB2	6.05686936828721
ZNF10	3.30888184197472
WDR74	5.69138401358935
FAM134A	8.44657827169164
PCNP	8.49557924897937
PURA	6.8215831670485
DNPEP	8.0167122398152
ERBB2	5.55987114159759
CREB1	5.18519454521762
NEO1	5.32737528948896
DDX3Y	3.25232991787805
RPS3A	12.8913683013352
MXRA7	9.60586774480437
LGALS3	11.9352511233865
GLT8D1	7.7292679613733
TMPRSS3	8.3576630088566
UPB1	3.18511906251658
LAT	3.53735646151193
CLDN14	3.90977738093075
DHX38	4.3695701907035
KCNA3	3.32062084741981
BTBD1	8.1058680761631
TARS2	5.41024184145766
SKIV2L2	8.3326487738098
ABCF1	8.27743611408155
CDT1	2.90342375772582
ZHX2	7.21086780106706
FCF1	4.96066776152907
LRRC49	3.92173853532464
GUCY1B2	3.61655893923482
CD28	3.25309106562599
SMARCA4	6.72826609179477
SEPT2	9.12554164529128
SOHLH2	3.47173796780092
MCOLN3	3.54420887059461
LRP8	5.90512180527608
TAGLN3	3.96932073103142
MASP2	3.58497717649939
GPATCH3	4.56596319216882
TTRAP	8.7576443344853
AGL	6.96414147395876
NFE2L3	4.57587100221542
PSD4	4.13060056878668
PALMD	6.31236449993833
CCNB1IP1	8.33076400414409
TMEM43	7.64365485971564
OBFC1	5.66267217801605
STAT5B	4.63917828060306
C14orf79	4.28112959965402
ENPEP	3.63972379415869
SSB	8.12968612726617
SCT	2.91933290939497
