Hybridization REF	LENOS_p_TCGA_Batch18and19_HT_HG-U133A_96-HTA_E07_491254
Composite Element REF	Signal
CSHL1	3.34378685954102
ZBTB7C	2.88930026645186
AHCTF1	5.86786163355152
SAE2	9.2433172475568
ITGA2	4.05865173733144
AP2S1	8.94198383987792
P15RS	8.12782449601895
MME	3.40633620611984
VAT1	6.92678686605351
MAST4	5.80108369833333
TUFM	9.856093502682
KRT33B	3.64364869498403
THEG	3.73429750062619
KCTD2	5.13288076773227
WDR26	8.56128141823204
MFI2	3.32921397590519
KRT34	3.13433246482782
NR4A3	3.61676655344388
SGSM3	4.3945169920635
ARSA	5.51219672095411
TOMM22	5.14199858178808
SOCS3	3.54239558209204
UNKL	4.13508376350674
POP4	8.6626886916076
BHLHB3	9.88797330428618
MALL	3.67482155791209
SOX15	3.40142863414635
CCNA2	3.4026326993813
PARK2	3.42359067549283
GPR124	3.9868070073794
TMEM132A	7.58706981218572
CGRRF1	6.81376132975943
RUVBL2	8.31125855952578
MCAT	6.37739483849964
WNT10B	3.85141450754477
ISCA1	5.65991610728078
RPAP1	4.51734500130406
C12orf48	3.97277842807538
RAI16	5.33887631202807
RPL27	9.75225149326673
EPN1	3.59337049095978
MAGI1	3.37755886880342
GBX2	3.40673739081051
SLC35A1	6.20492526145213
GAL	4.50236347631386
SLC14A2	3.69240692102239
RDH11	8.40136248621802
ZNF518	5.09638702139601
PCYT1B	3.30261647408972
AUH	7.02289029166149
EIF3H	11.1340049415892
KIF1B	7.68692727490863
MBD2	4.52368553899214
AMOTL2	8.16075454245786
C6orf120	5.88322844114313
PIGT	9.8152872236023
PSRC1	6.46312856985007
PLA2G10	4.13547382707537
ALAS1	8.37455358766022
FOXO1	6.50032123342412
C17orf62	6.76101204772296
KIF5C	8.00417125064203
DUSP10	3.69904720395388
CRLF3	6.22474626927963
CLCNKB	3.39431261366983
PSMA5	8.90767086477019
FARS2	4.99400842673773
CCDC28A	5.26362324023926
AMPD3	4.34520218450176
PIAS1	6.82555005458445
ADCYAP1R1	3.44543977240085
TMEM134	8.00956963862969
CDH20	3.12842564000926
FBXO7	7.34592982717528
FLJ14213	5.58499276935018
ZNF3	6.08548704716193
LRRFIP1	6.64620721591084
TMEM49	7.13290539291647
CNOT2	10.8957425080766
CBX2	2.82072822826483
ZC3H14	7.42900235924584
ALDH5A1	5.33801312940842
HNT	3.46969373032385
SERPINA4	3.15020220586173
FLJ20920	6.57561725948181
CRTAP	5.31061916044132
DDX50	8.29704597384695
STYXL1	8.07250735209839
TK2	5.76429942266737
BLVRB	7.1158812406947
STMN1	6.75486803614396
GUCA2A	3.07350320788313
DPP6	3.17969030200533
GALNT10	4.58271259003121
STK39	6.52269119192372
MMP24	4.5190133743758
CKS2	9.01906993850409
RHO	3.83389061818909
BANF1	10.0272969044613
CR1	3.12506057620317
RPS6KA2	4.96149085096724
HMBS	7.08210663780526
C20orf112	3.63907072130738
SLC25A24	7.67823906256508
MRPL22	7.13712326690474
SLC25A15	4.84452466307637
GADD45B	3.85935193483737
TDP1	5.88124944527299
ZNF287	3.99221038002083
DAAM2	5.19022090323908
C11orf57	6.28570925018764
RFK	7.0717016300406
ZFYVE9	4.2652045410826
TCTN3	8.30130402386976
STCH	6.15138048511166
LOC283871	4.32603194991117
NDUFB3	7.5009912434453
DEFB4	3.93298910468871
FPR1	3.57654224173061
FMNL1	3.81638536873939
SEPT7	10.1509857153997
PTCD2	4.85178163287703
GNLY	3.53203137505885
GRAMD1C	6.4627060767788
ZNF165	3.57623151938328
