Hybridization REF	AGARS_p_TCGA_B12_RNA_ReDo_HT_HG-U133A_96-HTA_C03_443104
Composite Element REF	Signal
SH3TC2	3.30739469806661
IL10	3.0814063928882
PXMP4	7.48955376021931
RNF167	6.27736346185264
PRMT5	6.48612169083537
TSKU	5.15141238410596
ATPIF1	8.07415126477307
ETV3	3.08960855947609
PAK7	3.01041832092342
PDLIM1	8.5304948062622
CEP63	5.30577231658020
WDFY3	4.97692993184409
RNF126	5.28602482044899
DPM1	8.98606700708318
CLIC4	6.60622434665576
ACR	3.69192653869436
KLK7	5.56605519984763
ALOX5AP	7.46033765137756
LRP1	4.89825309175784
TNK1	4.55008116998685
TAS2R9	2.92972994574555
ZNF16	6.20298453378773
POLR1B	5.66617880949978
SLC8A2	3.81693305413106
OLFM4	2.75225955930452
TACC1	4.63611555888953
SAMHD1	5.61572874467734
ATP13A2	4.9661247536228
KRT4	3.30908161307620
PAX6	7.55164372944528
SCG2	3.69766458459415
SLC17A6	3.14909337920143
TUBB4	4.2538803700618
PADI4	3.14050902418883
FMO3	3.19958818085781
NLK	3.66185267091921
POU4F3	3.20442771175049
MDM2	3.40854665494719
CAPNS1	8.87863723503572
SDF4	6.61267955439935
ITGBL1	5.53747543221585
TAP2	4.06607555499272
OR2C1	3.41637039384292
KLHDC3	6.63180096839011
EFHD2	5.85943762864923
GALR3	3.38611969870391
NBEA	5.56362059706325
ABCA6	3.51333870370861
ABBA-1	3.81326147458614
GNAI1	5.09468902761673
CLDN3	7.77776970619751
AKT2	3.32608943359777
EGFR	4.16805414641807
VPS4B	8.11201149701928
RBM16	7.12024499768427
GALNT6	6.35213208453582
ZDHHC3	5.40112847008922
SLC25A4	5.96627871746614
CYB5B	4.98121301470866
NDRG1	8.39798791587886
SESN1	4.55506991305606
GBE1	6.74521310199469
MRPL46	4.82578585257042
CLASP1	6.04302795131092
FARP2	4.71388455135933
ACOT11	3.64624633610423
LDHAL6B	3.09595695754227
MAPKAPK3	5.54288851700917
NCAM2	3.17090657372973
AFAP1	4.69009327247849
PRKD2	5.41580674454149
OR2H2	3.38436718991491
ZFP36L1	7.087316830708
DZIP1	5.99887445055145
GPR161	4.34290355899138
RNF146	4.48195755274931
NKX3-1	3.87230241775265
CCNB2	8.93054777203415
ZNF10	3.91492330858901
