Hybridization REF	FEAST_p_TCGA_B20_21_Expression_HT_HG-U133A_96-HTA_G02_516324
Composite Element REF	Signal
SDK2	3.608647829338
BAIAP3	4.11047502600032
RABGGTB	6.27910950789306
KCNK7	3.21920604681937
PTP4A3	7.28363184611357
ANKRD40	4.41084104466279
CALCOCO2	7.0051144588653
TMSL8	5.63523066315445
SNCA	4.22183916992522
ZNF551	3.48840063240635
HBQ1	3.47265873997595
ARHGAP26	3.7574810629114
GEMIN6	7.13622061959883
HRAS	5.94779377899698
KLRC4	2.99996018546694
BSDC1	6.58308288230751
DSC1	3.7571283128871
RNF43	4.54682453207044
NDUFAF1	6.04393826205165
MAP2K4	5.36901458725267
FOLR2	4.85185253105621
LYZL6	3.73398298254765
EPB41L3	3.77666003011588
TEKT2	4.72400010680723
CDKN2B	3.45331547736055
WSB1	5.50895437268198
ZNF480	3.57981022770310
MAP3K6	5.13225605720809
PROS1	5.67887228379204
PSMB8	5.61604689838797
HN1	7.36584116633142
MAS1	3.47422469846219
APOL1	5.88847580777941
CSHL1	3.24776008314374
ZBTB7C	3.04761370837555
AHCTF1	5.91712246214786
SAE2	8.84845789927305
ITGA2	3.7383077414139
AP2S1	8.93549150916667
P15RS	6.50104155456877
MME	6.86429819327406
VAT1	7.1182255266637
MAST4	4.63842773820987
TUFM	9.30508997381433
KRT33B	3.24772039525849
THEG	3.66081134184151
KCTD2	5.21527095828343
WDR26	9.07955411946185
MFI2	3.54359438983715
KRT34	3.26995989373818
NR4A3	3.51403677962658
SGSM3	5.11796691131991
ARSA	3.72831955486338
TOMM22	6.98368079777487
SOCS3	3.71241816062928
UNKL	3.75653799879951
POP4	7.83446140536083
BHLHB3	6.26009917505571
MALL	4.87122817271546
SOX15	3.14802203756074
CCNA2	5.4487828994397
PARK2	3.38078431600201
GPR124	4.5835312393068
TMEM132A	4.13821069940927
CGRRF1	5.6395428624128
RUVBL2	7.99488909236373
MCAT	7.8312795027904
WNT10B	3.73727612701442
ISCA1	7.26800493188883
RPAP1	4.1038549319845
C12orf48	5.15169526325602
RAI16	5.39962540859328
RPL27	9.29598888031734
EPN1	3.68395794060122
MAGI1	2.90720618364959
GBX2	3.19564224285562
SLC35A1	7.73401669157885
GAL	4.2318257187062
SLC14A2	3.70150963549568
RDH11	6.77131979726109
ZNF518	3.98709231606595
PCYT1B	3.50807365601225
AUH	5.78369398638327
EIF3H	11.4575901670221
KIF1B	7.55914599298323
MBD2	4.47431804239093
AMOTL2	7.78944837325775
C6orf120	5.45515260471895
PIGT	7.8989264489818
PSRC1	4.1811188850312
PLA2G10	4.04607652503736
ALAS1	7.3667454837956
FOXO1	5.63646354591053
C17orf62	6.83507014402544
KIF5C	4.17162563327202
DUSP10	5.39063199143733
CRLF3	6.6588157543039
CLCNKB	3.88879814297445
PSMA5	7.75820226843823
FARS2	5.55816575132308
CCDC28A	6.05494093323063
AMPD3	4.81689507731052
PIAS1	7.50886578131255
ADCYAP1R1	3.34914095482027
TMEM134	6.72690538693066
CDH20	3.04760505558622
FBXO7	9.32978607535002
FLJ14213	4.54392059622229
ZNF3	5.3474238899322
LRRFIP1	6.25238853749484
TMEM49	8.96332801069948
CNOT2	6.99878107412274
CBX2	2.739212722743
ZC3H14	6.50246740041718
ALDH5A1	6.35507547774713
HNT	4.98153819119512
SERPINA4	3.10365935315975
FLJ20920	5.04987779009883
CRTAP	6.32333422750034
DDX50	8.7907961112558
STYXL1	7.35072516342007
TK2	4.3924434723655
BLVRB	6.17697904308082
STMN1	6.62328908892709
GUCA2A	3.16583933456087
DPP6	3.13798455719465
GALNT10	4.32864315592492
STK39	6.04539073241833
MMP24	5.3780128667398
CKS2	9.24948501626872
RHO	3.58052150107979
BANF1	9.09435125093025
CR1	3.03201578619822
RPS6KA2	4.71903802018938
HMBS	6.04496503047516
C20orf112	3.68144571788357
SLC25A24	6.92030033035392
MRPL22	8.17461410436821
SLC25A15	4.75395426457245
GADD45B	5.15299220488719
TDP1	5.18746338386585
ZNF287	4.19525264274973
DAAM2	5.62168312535414
C11orf57	6.32197955117885
RFK	6.9299693575287
ZFYVE9	4.15996554652007
TCTN3	7.70892452604228
STCH	6.2562841417978
LOC283871	3.45837156599800
NDUFB3	7.98589647109455
DEFB4	3.41299733208251
FPR1	3.49483532495953
FMNL1	3.86043505620512
SEPT7	9.36188288327347
PTCD2	4.30656072121554
GNLY	3.44135991222836
GRAMD1C	3.59170380973531
ZNF165	4.46689483990629
TR2IT1	5.06737839173989
ARMCX3	7.56394742598294
NDE1	4.97759777793851
MAGEF1	7.60961477620252
ITGA10	3.78701645683021
ARHGDIB	6.92799998131003
FSHB	3.49929495092577
ANXA2	11.6568082394500
HLCS	4.34749174669392
MCF2L	3.869466955461
AK1	6.63324170822942
FH	7.04727005290277
LGALS2	3.8228201449348
SYNPO2L	2.82901676675293
KIAA1045	3.35358353431883
C1orf183	4.5170170561857
MAGEA8	3.16453333438747
DGCR8	4.49317771755258
GSR	5.25175211289704
NEU2	3.38908931941699
HIST1H4B	3.41109496134898
CACNA1C	3.24840739194457
FAM20B	6.78229209597482
HES2	3.60315667898032
PDCD6	8.91585294382754
INTS7	5.67038006454965
AMPH	5.02088721956461
UCKL1	5.98513932230651
ASB4	3.26272901831748
C10orf97	5.36273845968268
ALDH1L1	3.89309244267647
CCL23	3.32321395191095
OBSL1	4.94895515596737
SLC12A7	6.17332792310113
THAP4	5.92539326057862
RBM4B	5.60589317085838
OGFRL1	4.17318760403617
KIAA0831	5.95620384786811
C12orf11	8.01356922372551
PPP1R15A	4.69552641595509
KIAA0240	5.9579764809576
CD1B	3.01399662540528
FCGR2A	4.93092227754296
MDC1	5.05941097515286
MAN1A1	4.25230479445599
KRT9	3.33912554050057
HTR1A	3.06033789539218
OCEL1	5.24864611330818
ATP11B	6.10777084636247
NLGN4X	6.35715489656048
FBXO34	7.31209370466818
ALOX12	3.31579883990123
RB1CC1	7.07598633614463
PCDH12	4.52369618601012
RPE	4.9552847828615
EIF4E	5.89308975711296
CSDC2	3.78788064505555
ABHD5	6.21952956036068
TMBIM1	6.26663743966694
PET112L	6.22886183685814
P2RXL1	2.94304443895388
F2RL2	3.11684158514049
TRMT1	4.47058763391224
IMPG2	4.12569566071664
LRRC32	5.45117941164185
BGLAP	3.87607913379701
HTR4	3.46549067791211
MRAS	4.65114226244279
TRAF6	4.76187562024106
AXL	5.7929401886864
ATP2C2	3.33089746210408
LMNB1	5.87671065481791
TELO2	4.14596090139747
PNPLA3	3.805581526768
CSNK1E	6.89228515946927
SRP14	10.0892262646157
KCNQ4	3.16588363960757
PIK3C2B	5.49197954772008
C15orf15	8.5007267773864
TUBB2B	3.48901885293412
USP15	5.17930548256980
C12orf41	6.54730136311535
CEND1	4.05550884517877
RNF31	4.20801446430763
TCEAL2	4.5604232190842
PTGER2	4.25491990196454
UBN1	6.41646936097489
SLC5A7	3.16893710068211
SLC31A1	6.25075235808944
ADAM29	3.45565720110191
ST7L	4.2204090322543
GFOD1	4.42250869589816
CTNNA1	8.73649762227566
HRBL	3.67344398285052
CBX4	3.71303351705623
NTRK2	3.50893841938542
FOXN3	5.02838128095469
MFGE8	5.99387803356294
PFKFB2	4.08358758642786
TAS2R4	3.58425008736787
SH3TC2	3.47234725324459
IL10	3.51440573800353
PXMP4	6.84125508996771
RNF167	5.95244648567017
PRMT5	6.19085521956471
TSKU	5.86182221551439
ATPIF1	8.64790137889432
ETV3	3.18682832961691
PAK7	3.12111483908920
PDLIM1	9.36390534607028
CEP63	6.11915232618823
WDFY3	4.44183213113532
RNF126	5.42883181031705
DPM1	8.88696488892723
CLIC4	6.09234148024616
ACR	3.60257020254373
KLK7	9.97639604415535
ALOX5AP	6.31155140727751
LRP1	4.99142721399543
TNK1	4.21624096985151
TAS2R9	3.30144456110552
ZNF16	6.85338275828718
POLR1B	5.09319170649123
SLC8A2	3.59025386387316
OLFM4	2.84455033085669
TACC1	5.64436978988314
SAMHD1	6.18543064897088
ATP13A2	4.89313179949921
KRT4	3.56636916672414
PAX6	3.7851123806669
SCG2	6.82779400698043
SLC17A6	3.43640121930372
TUBB4	3.74954682938083
PADI4	3.07133452966925
FMO3	3.27963523344105
NLK	4.15151798642347
POU4F3	3.24803931593787
MDM2	3.60871583897564
CAPNS1	9.44491781774193
SDF4	7.52086526176466
ITGBL1	6.03513939100358
TAP2	3.79604862231755
OR2C1	3.37628360153374
KLHDC3	7.08878516608328
EFHD2	5.033194947647
GALR3	4.17534868114139
NBEA	3.5683055852077
ABCA6	3.30016121455377
ABBA-1	3.80054437800501
GNAI1	5.17868065373648
CLDN3	9.1365304305067
AKT2	3.32900136535401
EGFR	3.92376760318102
VPS4B	6.74444184661373
RBM16	7.78832384758686
GALNT6	5.24236236945494
ZDHHC3	6.76287905641505
SLC25A4	6.73775618812988
CYB5B	5.9070782508722
NDRG1	7.09581920703266
SESN1	5.03100971920852
GBE1	8.88011223113981
MRPL46	7.28610916772791
CLASP1	5.55685846597326
FARP2	4.42413373241033
ACOT11	3.71547210704617
LDHAL6B	3.07537272862801
MAPKAPK3	5.98258247623315
NCAM2	3.35233120999081
AFAP1	4.47733645411884
PRKD2	5.78485496655715
OR2H2	3.28781973235416
ZFP36L1	6.3699036098001
DZIP1	4.33116297391116
