Hybridization REF	TARRE_p_MultiPlate_TCGA_SS_MA_Ref_HT_HG-U133A_96-HTA_D12_586150
Composite Element REF	Signal
ZDHHC3	6.16289820973991
SLC25A4	7.49129873179078
CYB5B	6.84433635487318
NDRG1	6.88742032961889
SESN1	6.35650167248288
GBE1	8.43057824805992
MRPL46	7.37919946923264
CLASP1	4.94098481083644
FARP2	4.07010767471441
ACOT11	3.76454797719096
LDHAL6B	2.96138106806581
MAPKAPK3	6.38499830674252
NCAM2	3.05793571663505
AFAP1	4.87673547532055
PRKD2	5.85993481773071
OR2H2	3.2356238052085
ZFP36L1	7.54599608867283
DZIP1	5.52067262754323
GPR161	3.7490170557443
RNF146	4.55940685039853
NKX3-1	3.90196588079032
CCNB2	7.52091080934517
ZNF10	3.5680252184883
WDR74	6.2378054318639
FAM134A	7.49610587678967
PCNP	9.11326255151848
PURA	5.33409539072573
DNPEP	7.40129347038271
ERBB2	4.76646016128959
CREB1	6.05749287780333
NEO1	5.66203213072508
DDX3Y	3.25420081606101
RPS3A	13.0865599938538
MXRA7	9.66901284241929
LGALS3	11.6791889513210
GLT8D1	7.60093339851719
TMPRSS3	8.4273553043655
UPB1	3.2736975829998
LAT	3.89815730724719
CLDN14	3.59980004552706
DHX38	4.26238364871899
KCNA3	3.02455246505894
BTBD1	8.2820857594078
TARS2	5.10332431079884
SKIV2L2	7.791969172549
ABCF1	7.22200005098916
CDT1	3.19106885612049
ZHX2	7.27147884354263
FCF1	4.97324716846897
LRRC49	6.09356795549531
GUCY1B2	3.7937715715556
CD28	3.4544787818379
SMARCA4	5.81453327936657
SEPT2	9.21261408407241
SOHLH2	3.69841747890066
MCOLN3	3.55936086822037
LRP8	4.23091537287869
TAGLN3	3.85508603224505
MASP2	3.79447089974871
GPATCH3	4.73144748218345
TTRAP	8.6887370384003
AGL	6.35688969424108
NFE2L3	5.95231939172994
PSD4	3.70943399165546
PALMD	8.04741351613363
CCNB1IP1	7.97899990363096
TMEM43	6.93290830093472
OBFC1	8.50497509066826
STAT5B	4.24441914980562
C14orf79	5.22571625723168
ENPEP	3.73276220569134
SSB	8.00053665802713
SCT	2.93895264950848
TIMM23	6.99120713148008
SKI	3.48476414868923
SLC22A13	3.04789888858079
AKAP3	4.21096438523097
OAS2	4.25947964884094
KIAA0423	6.71307160092456
SEC61G	10.1935166376793
CAPN11	2.94320875667346
TMEM50B	8.26226449207894
