Hybridization REF	APEEK_p_TCGA_GBM16-Ov15_Expr_HT_HG-U133A_96-HTA_B03_464078
Composite Element REF	Signal
LGR5	3.64638291879919
JAK2	3.64000270914385
DPYSL4	3.43394843978775
TM9SF4	5.05924278535372
PTHR1	3.15616518669936
SIRPG	2.77677426841822
ZNF264	5.18649029547274
BICD1	5.69898819545881
RAB5A	6.67465284036217
FLJ13224	3.3893916046296
METTL5	7.6035284397665
HERC6	3.90792853873705
CASP1	5.29098586309373
USP9Y	2.94414832668707
LRP1B	2.99320973470259
XAF1	4.6342206832074
PLA2G4C	3.48027545823640
APOA2	3.19806219445564
SPAG6	3.12907874606057
KALRN	3.70921299635298
SECTM1	4.50545565591985
THOC7	9.4100838152973
IFNAR1	4.29385272631053
TCTA	5.99959888070081
NY-REN-7	3.99700508335481
TALDO1	7.92822756979154
B2M	10.0266198524756
LPPR4	5.07548796313363
SQLE	7.13680638783281
SEPHS1	6.47103115210159
EIF5A	6.2389943257051
FAM49A	4.40222360432643
YTHDC2	3.9366975996035
EHD2	4.61820826084301
NCF1	3.50502562661869
SPG7	4.9545095289125
ZNF614	3.43038899744194
HOXA5	3.98582005331711
NUP133	6.52412523133636
FGF12	3.75495741460192
SLMO2	6.92090198219482
INPP5B	4.73823103770873
PPID	4.92643146479312
SNTA1	4.56880667603549
IL20RA	4.0161499339923
UBE2J1	6.17078878364325
CACNG2	3.29355766665124
GCM1	3.47746912522807
ELF1	6.15361078546265
TLR5	7.04700006368443
TCFL5	5.52542833033636
C1orf107	5.4282998492148
C19orf22	5.66329706395408
SAFB2	6.51932298734804
MAP3K7IP1	4.140841157838
NCK2	6.6915619672708
OXA1L	6.43309293607033
KIAA0652	5.12026256104506
KLRG1	3.8387089219141
FRAG1	5.80625637011835
ZSCAN12	3.07944311573893
PSMD12	7.35774810184867
E2F4	5.37131642480355
CLEC4M	3.70050268887588
KIAA0999	5.09365434672662
CLDN10	6.8254497074554
MGC13053	4.22739252022110
TAC1	2.66908953024032
GYPA	3.39106287825662
HPCAL4	5.46135141820807
TRAIP	4.32007926673259
MEX3D	4.13510459252879
KIAA0232	7.03410862663467
ERCC8	4.07640543019461
NFAT5	6.39897000845037
GPX4	7.45977879419844
CSPG4LYP1	3.05818946150626
KIAA0368	6.15264599330947
