Hybridization REF	AGARS_p_TCGA_B12_RNA_ReDo_HT_HG-U133A_96-HTA_D05_443142
Composite Element REF	Signal
ZNF518	3.96130890532530
PCYT1B	3.47157239707739
AUH	6.15057906245349
EIF3H	9.93079489703431
KIF1B	5.17979157719337
MBD2	4.60124145399158
AMOTL2	8.86642480493087
C6orf120	4.55802511171091
PIGT	7.11607231339296
PSRC1	5.36062676215895
PLA2G10	3.55491316718322
ALAS1	5.82803001978863
FOXO1	6.33205868151847
C17orf62	7.33932796445665
KIF5C	5.1823778335031
DUSP10	5.31961382976221
CRLF3	6.09813379267667
CLCNKB	3.51355918522871
PSMA5	7.76823784352293
FARS2	4.85249322014339
CCDC28A	5.43508382819722
AMPD3	4.71151196302713
PIAS1	6.44653940229937
ADCYAP1R1	3.513137469852
TMEM134	6.84324423832624
CDH20	3.10885765587036
FBXO7	7.90425552605015
FLJ14213	3.94400190560643
ZNF3	5.05273884440546
LRRFIP1	7.55641507320927
TMEM49	10.0048647452801
CNOT2	6.36590202341789
CBX2	2.86505877900201
ZC3H14	5.29952917416156
ALDH5A1	5.16445921813431
HNT	3.39250334861228
SERPINA4	3.16733345729422
FLJ20920	5.42806977885556
CRTAP	5.05798693175985
DDX50	6.35400019606111
STYXL1	6.4594586352953
TK2	4.94649145470368
BLVRB	5.25888342868618
STMN1	6.32297928255251
GUCA2A	4.02726956521222
DPP6	2.84736526711844
GALNT10	4.34955971126253
STK39	4.88553691588497
MMP24	4.51607642925423
CKS2	9.08762000459919
RHO	3.7515299620293
BANF1	8.68077135447771
CR1	3.23068044147825
RPS6KA2	5.60025458265356
HMBS	5.24852321075952
C20orf112	3.6696465573428
SLC25A24	5.61462077541177
MRPL22	7.35460398051632
SLC25A15	4.50736482366239
GADD45B	5.32248741161966
TDP1	4.864168287873
ZNF287	3.50383192367254
DAAM2	5.41470497550065
C11orf57	4.86650885340566
RFK	7.15062135970083
ZFYVE9	4.21517081002699
TCTN3	5.16762456288691
STCH	5.59894640868014
LOC283871	3.40946176697116
NDUFB3	7.35978333449251
DEFB4	7.85821601103335
FPR1	3.85276798619233
FMNL1	3.75195883916927
SEPT7	9.32620411974235
PTCD2	4.37216815404116
GNLY	3.97604828604902
GRAMD1C	4.2968814883867
ZNF165	5.54288391312688
TR2IT1	4.26032505709955
ARMCX3	8.45841362258207
NDE1	5.98062580405474
MAGEF1	7.47694331035064
ITGA10	4.50897105093976
ARHGDIB	7.1200929311797
FSHB	3.84468086552336
ANXA2	11.0100182095271
HLCS	3.97020359951222
MCF2L	4.14230045389774
AK1	4.83855659164805
FH	5.94197972195987
LGALS2	3.89504879699594
SYNPO2L	2.90110037461411
KIAA1045	3.43176754668227
C1orf183	5.22875029940047
MAGEA8	3.63258613755386
DGCR8	5.62464231324737
GSR	4.7995276804947
NEU2	4.00485257556571
HIST1H4B	3.46587425350347
CACNA1C	3.15502757233494
FAM20B	6.1982317449506
HES2	3.24861484580825
PDCD6	7.50394750604924
INTS7	4.79787640391217
AMPH	3.97011414301233
UCKL1	5.21360724045139
ASB4	3.25885065745627
C10orf97	4.5497757390491
ALDH1L1	4.15781797646588
CCL23	3.26028255434312
OBSL1	5.07157038151895
SLC12A7	7.4467649059073
THAP4	5.33323207226419
RBM4B	5.22681433840606
OGFRL1	4.13918753272857
KIAA0831	4.93991211750198
C12orf11	6.19230741498898
PPP1R15A	4.46289026203603
KIAA0240	5.5604687009425
CD1B	3.33198749898311
FCGR2A	3.12017679918428
MDC1	5.79260414548869
MAN1A1	3.58099709817929
KRT9	3.74963101457616
HTR1A	3.30838708465543
OCEL1	5.65359854983681
ATP11B	4.8974296725666
NLGN4X	5.94649190090644
FBXO34	6.55625718687408
ALOX12	3.65910124067835
RB1CC1	7.2247431786353
PCDH12	4.44642897217567
RPE	4.22110900748488
EIF4E	5.7917211255148
CSDC2	4.47983230687119
ABHD5	4.07708821602486
TMBIM1	5.88321809136783
PET112L	4.44757236640962
P2RXL1	3.70937014737043
F2RL2	3.50035734313026
TRMT1	6.09959132606331
IMPG2	3.72812219882089
LRRC32	4.7626507921632
BGLAP	4.23299950088566
HTR4	3.66258200178061
MRAS	6.23957260046216
TRAF6	4.22324785507014
AXL	3.93898234258867
ATP2C2	4.14203193576004
LMNB1	6.12935314485175
TELO2	4.36467664667871
PNPLA3	4.40844558788179
CSNK1E	7.58060740993363
SRP14	10.1763064813777
KCNQ4	3.4231481047397
PIK3C2B	5.88049482744875
C15orf15	6.85160151296256
TUBB2B	3.36731449424605
USP15	4.36634756322353
C12orf41	5.908008095786
CEND1	3.96129176945634
RNF31	3.61508122267923
TCEAL2	4.46543861336438
PTGER2	3.83976229164386
UBN1	5.91475774423913
SLC5A7	3.71445201310283
SLC31A1	6.27647615678532
ADAM29	3.15510480038502
ST7L	4.25228429110917
GFOD1	5.73823495546992
CTNNA1	8.57379162763334
HRBL	4.35299224951929
CBX4	3.4773299067184
NTRK2	3.84339684127424
FOXN3	4.88757279294869
MFGE8	5.78893345187862
PFKFB2	3.93589233284251
TAS2R4	3.87673463236709
SH3TC2	3.48371972511912
IL10	3.43174880408334
PXMP4	5.65533494691517
RNF167	6.20806106618027
PRMT5	3.97630574700303
TSKU	5.24521756466136
ATPIF1	8.82396892172083
ETV3	3.55380164433629
PAK7	3.22033625548343
PDLIM1	8.8207193676563
CEP63	4.71244251123241
WDFY3	5.03014426686338
RNF126	4.47616832306271
DPM1	7.54927234175225
CLIC4	5.08223628151676
ACR	4.13791250305804
KLK7	5.8993887330598
ALOX5AP	4.26225875625233
LRP1	4.69669962284215
TNK1	4.61909089101678
TAS2R9	3.43571336597454
ZNF16	5.75274650107643
POLR1B	5.74663230402061
SLC8A2	3.98166360802415
OLFM4	3.09445160962935
TACC1	4.43282426080108
SAMHD1	4.93736492933701
ATP13A2	4.65514154675343
KRT4	3.85888982096334
PAX6	3.00900830152377
SCG2	3.57722411994216
SLC17A6	3.66869090379181
TUBB4	4.17711945022484
PADI4	3.34720529376238
FMO3	3.27753075515018
NLK	4.1029690136679
POU4F3	3.46516505678509
MDM2	3.35081646552088
CAPNS1	8.44043275366223
SDF4	5.55796962304247
ITGBL1	3.33408079257379
TAP2	4.05495715765897
OR2C1	3.64654728436733
KLHDC3	6.03596931021638
EFHD2	5.11800621369762
GALR3	3.63135792934128
NBEA	3.38256347504383
ABCA6	3.28607898381677
ABBA-1	4.34451927968163
GNAI1	4.44672793431237
CLDN3	6.65647287270397
AKT2	3.46694125263828
EGFR	4.6990544076982
VPS4B	5.31413124709503
RBM16	6.72818314225808
GALNT6	7.08963910636467
ZDHHC3	5.30510250188022
SLC25A4	4.43078380506012
CYB5B	5.29836621750826
NDRG1	9.7924951255922
SESN1	4.46450561708252
GBE1	7.78153301159662
MRPL46	5.05112909985277
CLASP1	5.97826164855682
FARP2	4.63506101643951
ACOT11	4.49624171020936
LDHAL6B	2.96230102535159
MAPKAPK3	5.30458597695214
NCAM2	3.44632080556299
AFAP1	4.44023059503319
PRKD2	5.62030754229687
OR2H2	3.65950361408797
ZFP36L1	7.96296138345696
DZIP1	4.95360847599644
GPR161	4.29246136262473
RNF146	3.21919038633228
NKX3-1	4.03548426983929
CCNB2	7.03337594841742
ZNF10	3.63984046598982
WDR74	4.89096845329037
FAM134A	8.16201523982476
PCNP	7.31903009902702
PURA	5.37603289199677
DNPEP	7.14497915714915
ERBB2	5.32906434405688
CREB1	4.53867928077740
NEO1	5.8924634212651
DDX3Y	3.42435917687123
RPS3A	11.8572253071132
MXRA7	8.9047793059201
LGALS3	10.3517803817879
GLT8D1	6.74510803437035
TMPRSS3	7.44245645366696
UPB1	3.68211290616923
LAT	3.90266952161816
CLDN14	4.16268650602786
DHX38	4.69629677226364
KCNA3	3.33294099867578
BTBD1	7.46707363892995
TARS2	5.29664767677889
SKIV2L2	5.48617596104874
ABCF1	6.67184639291876
CDT1	3.95875651102115
ZHX2	6.01463723523873
FCF1	4.43840227662647
LRRC49	4.10388965965848
GUCY1B2	3.58604340795066
CD28	3.44072890609531
SMARCA4	7.21177187296517
SEPT2	8.47744046732507
SOHLH2	3.29067882800386
MCOLN3	3.77943903414805
LRP8	5.83292371030184
TAGLN3	4.12149004243501
MASP2	3.58203605889491
GPATCH3	4.15817265910103
TTRAP	8.05078860531066
AGL	6.2342167775041
NFE2L3	3.75907971841882
PSD4	3.99961032068202
PALMD	5.83956250080969
CCNB1IP1	7.43609349918832
TMEM43	6.71182196744823
OBFC1	5.52981632458061
STAT5B	4.09178837071133
C14orf79	4.90092124270095
ENPEP	3.54257848945404
SSB	7.4352719552334
SCT	3.23498695466076
TIMM23	5.04646476305351
SKI	3.80596118958655
SLC22A13	3.5037616964891
AKAP3	4.22048874296306
OAS2	3.97235949938621
KIAA0423	4.84014036739969
SEC61G	8.65891291968637
CAPN11	3.09283938786073
TMEM50B	4.47800129291698
DEGS1	5.55836395514029
ARHGEF4	3.72861320307111
