Hybridization REF	DURUM_p_TCGA_B22_23_Expr_HT_HG-U133A_96-HTA_D05_543626
Composite Element REF	Signal
SRP14	9.84081249225637
KCNQ4	3.14573488265489
PIK3C2B	6.44836286388059
C15orf15	7.68260524611979
TUBB2B	7.52217202582571
USP15	6.06845750525222
C12orf41	7.332074666365
CEND1	3.57783435474982
RNF31	4.5616911591052
TCEAL2	4.85575873937889
PTGER2	4.98254487628498
UBN1	6.28107411784484
SLC5A7	3.35095253134164
SLC31A1	5.78750396527944
ADAM29	3.43674407006779
ST7L	3.82053308754074
GFOD1	5.73209784957208
CTNNA1	8.86205556575335
HRBL	3.7339201120661
CBX4	3.75371734188000
NTRK2	3.6440071963976
FOXN3	5.32025421456534
MFGE8	6.61395893392744
PFKFB2	3.72478205281917
TAS2R4	3.58457090041016
SH3TC2	3.30078725388195
IL10	3.68817826223830
PXMP4	5.33196044596611
RNF167	6.3608492269642
PRMT5	7.29127695186341
TSKU	6.72453664734966
ATPIF1	7.766529110792
ETV3	3.39008260448460
PAK7	3.60758429653768
PDLIM1	9.94215687133199
CEP63	5.28197543297606
WDFY3	5.02889315810271
RNF126	4.68377037416974
DPM1	8.5052202401463
CLIC4	6.71124538157017
ACR	3.66408308211353
KLK7	9.3579141126865
ALOX5AP	9.0419313115167
LRP1	5.43127901207098
TNK1	5.32400552474004
TAS2R9	2.93076638824145
ZNF16	7.10887312566771
POLR1B	5.43274513920081
SLC8A2	3.28130834413579
OLFM4	3.06777816968532
TACC1	6.02234867784723
SAMHD1	6.74575545345972
ATP13A2	5.02255491801912
KRT4	3.5263978677182
PAX6	4.16954460210928
SCG2	3.66744942620229
SLC17A6	3.11340055440387
TUBB4	3.43938502417526
PADI4	3.12750840153604
FMO3	3.09694190875042
NLK	4.19327613773053
POU4F3	3.13205801363125
MDM2	3.55722294688346
CAPNS1	9.41309601422251
SDF4	7.79963962837749
ITGBL1	2.99509480855114
TAP2	4.09513685844115
OR2C1	3.58990014786833
KLHDC3	6.80885815148438
EFHD2	5.968135376732
GALR3	3.60170959050317
NBEA	3.61125730263381
ABCA6	3.43165827517724
ABBA-1	3.62860128304331
GNAI1	4.68350611249924
CLDN3	8.33070205685896
AKT2	3.2327954970754
EGFR	4.2842025336798
VPS4B	7.66462967677909
RBM16	7.94928492316282
GALNT6	7.65738572975529
ZDHHC3	6.16933310684816
SLC25A4	6.3847003686424
CYB5B	5.705879342373
NDRG1	9.44240874025146
SESN1	5.39182071690458
GBE1	8.04670205144897
MRPL46	6.13273190973924
CLASP1	6.57302188378015
FARP2	4.49934994451168
ACOT11	4.00281793360994
LDHAL6B	2.98963867728668
MAPKAPK3	6.04569284791125
NCAM2	2.98572869402559
AFAP1	4.55786997171794
PRKD2	6.77919353321614
OR2H2	3.356858672456
ZFP36L1	7.88908400424913
DZIP1	4.10305004000342
GPR161	5.00118877012724
RNF146	4.91843053795289
NKX3-1	3.73952950210162
CCNB2	6.56162567363901
ZNF10	4.47441571279461
WDR74	5.49651614248507
FAM134A	8.31217834230777
PCNP	8.68980404524071
PURA	5.57361621764461
DNPEP	7.4935840527436
ERBB2	4.99315141554161
CREB1	6.90782312805565
NEO1	7.21644392334313
DDX3Y	3.14638968008484
RPS3A	12.6058866166295
MXRA7	9.3514536661048
LGALS3	10.9245301922972
GLT8D1	7.44701522789059
TMPRSS3	9.5964363804047
UPB1	3.1633221382885
LAT	3.77843181366566
CLDN14	3.60455764031131
DHX38	4.76103021322823
KCNA3	3.17550447545784
BTBD1	8.61921696896258
TARS2	5.07845412206112
SKIV2L2	7.35983560248294
ABCF1	8.16007837460145
CDT1	2.85198793308533
ZHX2	7.78531277055768
FCF1	4.42851071481788
LRRC49	5.25137564254875
GUCY1B2	3.85216190746718
CD28	3.17592974027331
SMARCA4	6.94659077603564
SEPT2	9.34268983722107
SOHLH2	3.06110415945054
MCOLN3	3.73781703535113
LRP8	5.35102197525337
TAGLN3	3.55468463185707
MASP2	3.39129145180222
GPATCH3	4.29907327378866
TTRAP	8.23639746549974
AGL	7.07925543165966
NFE2L3	5.50527464483683
PSD4	4.22202895164416
PALMD	5.53122997396302
CCNB1IP1	8.44535527706404
TMEM43	7.2920056109295
OBFC1	4.81415283377859
STAT5B	4.68341572989575
C14orf79	4.42379851249588
ENPEP	4.26971440225318
SSB	9.03215892419738
SCT	2.82904910134043
TIMM23	6.57611212607479
SKI	3.42755684552421
SLC22A13	3.03976463970365
AKAP3	3.30312464411694
OAS2	6.71812760883877
KIAA0423	5.13025176963266
SEC61G	9.30910909852642
CAPN11	3.02874160339398
TMEM50B	7.65025492285782
DEGS1	7.76669368660644
ARHGEF4	3.49684341792529
DBNDD1	3.83558852165187
