Hybridization REF	LENOS_p_TCGA_Batch18and19_HT_HG-U133A_96-HTA_G01_491276
Composite Element REF	Signal
CAPNS1	9.62033909218484
SDF4	6.55983182440951
ITGBL1	3.23565433307802
TAP2	3.93908774360297
OR2C1	3.34096534412176
KLHDC3	6.83745498832967
EFHD2	5.05488166284983
GALR3	3.61765241962960
NBEA	3.45250318219484
ABCA6	3.28866263912876
ABBA-1	4.03066410566611
GNAI1	5.27009995209272
CLDN3	6.81960269023692
AKT2	3.41395635530173
EGFR	4.86642546526344
VPS4B	6.80328972151735
RBM16	7.8095574678304
GALNT6	7.60176750191954
ZDHHC3	6.12538840175407
SLC25A4	6.83481561007711
CYB5B	6.91656706575385
NDRG1	9.5530818774287
SESN1	4.30369338705346
GBE1	6.52601775102589
MRPL46	5.92925073201658
CLASP1	5.49316904228244
FARP2	4.62741008991973
ACOT11	3.65711691741704
LDHAL6B	3.19542252373515
MAPKAPK3	6.14137001137405
NCAM2	2.92517890043892
AFAP1	5.04840887783306
PRKD2	6.7098465448349
OR2H2	3.344355784153
ZFP36L1	7.25901522475593
DZIP1	4.44355431215891
GPR161	4.33268933378906
RNF146	3.75112098518150
NKX3-1	4.12828576263113
CCNB2	8.20422589703366
ZNF10	3.81881190210942
WDR74	6.73082977600011
FAM134A	8.50012048588581
PCNP	8.64815523307069
PURA	6.31913170031294
DNPEP	7.91047164181186
ERBB2	5.35154950498232
CREB1	5.75907565361606
NEO1	6.22105220158098
DDX3Y	3.39738791945284
RPS3A	12.8600848127376
MXRA7	8.90613872087972
LGALS3	11.0996282431092
GLT8D1	7.38070215610454
TMPRSS3	8.2371835512735
UPB1	3.46815069232101
LAT	4.19185894607889
CLDN14	3.581982060567
DHX38	4.50140243076176
KCNA3	3.2336413246992
BTBD1	8.20861600408664
TARS2	5.98435682759517
SKIV2L2	7.87315644963874
ABCF1	7.2947655838762
CDT1	3.83010122567355
ZHX2	7.29116634223845
FCF1	4.58426752344579
LRRC49	4.38647904952274
GUCY1B2	3.32206526172879
CD28	3.31936492884463
SMARCA4	6.55304155423562
SEPT2	9.59225627588249
SOHLH2	3.40086614979799
MCOLN3	4.56989581188351
LRP8	5.70250827057868
TAGLN3	3.75098998182146
MASP2	3.63784835514066
GPATCH3	3.94288708071032
TTRAP	8.51296428986512
AGL	7.22720065125953
NFE2L3	4.71922669849753
PSD4	3.48851279953681
PALMD	6.65270867255605
CCNB1IP1	8.38112743490037
TMEM43	7.44146401881659
OBFC1	5.99329466046448
STAT5B	4.48108385258606
C14orf79	4.24728578493547
ENPEP	3.7140851226439
SSB	7.04319453688972
SCT	3.06631177530837
TIMM23	6.70823151975517
SKI	3.73835743169134
SLC22A13	3.26523802690227
AKAP3	4.00249331251041
OAS2	5.37155532657786
KIAA0423	6.54154828511987
SEC61G	9.8298134967365
CAPN11	3.00049574079912
TMEM50B	7.38867649669024
DEGS1	6.5327895360318
ARHGEF4	3.64379642112585
DBNDD1	4.33176190502123
