Hybridization REF	LENOS_p_TCGA_Batch18and19_HT_HG-U133A_96-HTA_D03_491148
Composite Element REF	Signal
KRT9	3.16661960952643
HTR1A	3.30565056786764
OCEL1	5.81031068166887
ATP11B	6.08160907471922
NLGN4X	3.98229993041602
FBXO34	7.1690337796556
ALOX12	3.59918461508448
RB1CC1	6.97811131556064
PCDH12	4.65243493886372
RPE	5.2579848249397
EIF4E	6.596178151935
CSDC2	3.90913590400537
ABHD5	4.30164787625175
TMBIM1	6.1893744124191
PET112L	4.26648246119306
P2RXL1	3.26270579555751
F2RL2	3.13016109946697
TRMT1	5.43299089886669
IMPG2	3.42710691986955
LRRC32	5.56842887363666
BGLAP	3.92061854112767
HTR4	3.30591408870376
MRAS	5.17361446714457
TRAF6	5.4111725632382
AXL	4.89727270716517
ATP2C2	3.54861862671763
LMNB1	6.66674898671069
TELO2	4.28892604331102
PNPLA3	3.84008897028901
CSNK1E	6.70910180219332
SRP14	10.1807288324057
KCNQ4	3.15188691448662
PIK3C2B	7.39072500042723
C15orf15	7.66529752811346
TUBB2B	6.05588628114795
USP15	5.95715785006419
C12orf41	7.55986787492842
CEND1	3.62121986104423
RNF31	4.3310716499253
TCEAL2	4.80199089691322
PTGER2	4.60779128765852
UBN1	6.85761639328353
SLC5A7	3.21970015130118
SLC31A1	5.93607544468873
ADAM29	3.23174326333538
ST7L	3.82615606497753
GFOD1	5.51266174745756
CTNNA1	9.21340403581902
HRBL	3.57647246766861
CBX4	3.70500700777616
NTRK2	3.62818218513204
FOXN3	5.04788108726545
MFGE8	5.33336257212226
PFKFB2	3.84874413050585
TAS2R4	3.64687551998095
SH3TC2	2.9951212975559
IL10	3.44307165083724
PXMP4	6.15052777731447
RNF167	6.29590735014442
PRMT5	8.33108217708672
TSKU	5.29582483467685
ATPIF1	8.14107574257554
ETV3	3.11898890042965
PAK7	2.95882402357654
PDLIM1	9.75221892235164
CEP63	6.04073703522178
WDFY3	4.57588761682670
RNF126	4.73204639009599
DPM1	9.37050955643176
CLIC4	7.18908117616946
ACR	3.56375568912162
KLK7	8.47900704639271
ALOX5AP	7.41002091063331
LRP1	5.38141119253394
TNK1	5.40729499752911
TAS2R9	3.3238648324205
