Hybridization REF	GHYLL_p_TCGABatch17_Mashima45_HT_HG-U133A_96-HTA_A12_471884
Composite Element REF	Signal
KALRN	3.22694997847579
SECTM1	5.57325932305874
THOC7	8.63463437531396
IFNAR1	3.31866664698009
TCTA	6.19227851485095
NY-REN-7	3.66599346963532
TALDO1	9.29905524165837
B2M	11.7322859664831
LPPR4	3.05081998530248
SQLE	6.56505557985931
SEPHS1	7.58404324728824
EIF5A	6.36986248562252
FAM49A	4.4657670369597
YTHDC2	4.65405514112377
EHD2	5.24445210531585
NCF1	3.81580103291648
SPG7	5.48261768113102
ZNF614	3.75596546877974
HOXA5	6.00992666182953
NUP133	8.46673966371196
FGF12	3.47790571726754
SLMO2	8.3135494450039
INPP5B	4.55382261555196
PPID	6.41232523569961
SNTA1	4.10656980912702
IL20RA	3.425501877975
UBE2J1	5.22859794878207
CACNG2	3.32396540684417
GCM1	3.29642124942566
ELF1	6.70774732286723
TLR5	5.46081269726601
TCFL5	5.27793847790568
C1orf107	5.91201326897938
C19orf22	6.7773643890315
SAFB2	5.94662584473779
MAP3K7IP1	3.70869071967339
NCK2	8.009925637009
OXA1L	8.76218036470926
KIAA0652	5.24462833918784
KLRG1	3.61093730254929
FRAG1	6.65019245988365
ZSCAN12	3.31014497367962
PSMD12	6.88852105052178
E2F4	4.96416739142636
CLEC4M	3.42257208494999
KIAA0999	4.67248005165036
CLDN10	5.17867108094955
MGC13053	4.19768179516456
TAC1	2.59167858886243
GYPA	3.33335315359469
HPCAL4	3.21222755641142
TRAIP	4.42983845987358
MEX3D	4.62866602264715
KIAA0232	6.72037850086305
ERCC8	5.25000761874711
NFAT5	4.51448857208332
GPX4	9.87256996171863
CSPG4LYP1	3.51465494826259
KIAA0368	6.40267146891232
FBXO3	5.94805392455376
DVL1	5.55666414762777
CMKLR1	3.59110580799625
GPR157	3.40630311508008
TYMS	8.4018104879893
OR52A1	3.09715287078147
PEF1	6.54087143670567
ZNF750	3.06753907114998
ALG9	6.2712233498941
MCM5	5.76998025793516
SDK2	3.37546412868025
BAIAP3	3.86355280244188
RABGGTB	7.19414108853429
KCNK7	3.34987025770342
PTP4A3	5.23658242246308
ANKRD40	3.28758191118855
CALCOCO2	6.47871556360484
TMSL8	4.89953458969068
SNCA	4.23684003806834
ZNF551	5.2900897394066
HBQ1	3.60442337445603
ARHGAP26	5.18009277951328
GEMIN6	6.82492107147502
HRAS	5.18657386693831
KLRC4	2.87493370895505
BSDC1	4.71000204981583
DSC1	3.85000069829943
RNF43	4.83308667649887
NDUFAF1	5.9615863190886
MAP2K4	4.78427659046663
FOLR2	4.64303792572897
LYZL6	3.69859774630626
EPB41L3	4.58855349715479
TEKT2	3.48589648447285
CDKN2B	3.56110844375283
WSB1	5.73723362142693
ZNF480	3.33209693555681
MAP3K6	4.1254473677578
PROS1	7.2882504720654
PSMB8	8.76924917645849
HN1	8.99118385821355
MAS1	3.30328953435853
APOL1	5.63022212454895
CSHL1	3.33649048778905
ZBTB7C	3.46712489802845
AHCTF1	5.99517651737014
SAE2	8.81520160350392
ITGA2	3.77412337748288
AP2S1	8.55951514780911
P15RS	7.08102403175521
MME	3.61640166644553
VAT1	6.33644308790416
MAST4	6.2612984007972
TUFM	9.69019954598889
KRT33B	3.25566326290540
THEG	3.69115160774859
KCTD2	5.41447466227001
WDR26	8.57723195839947
MFI2	3.17752690344618
KRT34	3.02461198017923
NR4A3	3.32579334755006
SGSM3	4.32672475700948
ARSA	3.84878767622679
TOMM22	5.94825083014493
SOCS3	4.04555321276105
UNKL	4.08882947606124
POP4	7.77955695994576
BHLHB3	9.14406740582089
MALL	3.29306646824327
SOX15	3.10378067277076
CCNA2	5.06638421064656
PARK2	3.37102695100812
GPR124	4.53103371989107
TMEM132A	5.67398380927115
CGRRF1	5.98686011655474
RUVBL2	8.64691835646951
MCAT	5.46944644336308
WNT10B	3.96741792652358
ISCA1	6.60154547664084
RPAP1	4.53580052624457
C12orf48	5.14483605342697
RAI16	4.47759980793081
RPL27	8.90556567514081
EPN1	3.57290557745069
MAGI1	3.01997801708781
GBX2	3.29902490803151
SLC35A1	7.14760430133633
GAL	3.96027376337054
SLC14A2	3.91711435637379
RDH11	7.47550783392732
ZNF518	4.61682240565127
PCYT1B	3.34102522296741
AUH	6.63820542760698
EIF3H	11.2131263259805
KIF1B	5.82269636845484
MBD2	4.73262372851759
AMOTL2	7.89189168255794
C6orf120	5.27513856132894
PIGT	6.25982327240254
PSRC1	5.10236725875869
PLA2G10	3.58496857742869
ALAS1	6.59332785850488
