Hybridization REF	FEAST_p_TCGA_B20_21_Expression_HT_HG-U133A_96-HTA_E08_516348
Composite Element REF	Signal
PDLIM1	7.87871851734203
CEP63	5.43618413155122
WDFY3	4.8403925229555
RNF126	4.64871721901769
DPM1	8.2303559006275
CLIC4	5.40688851975935
ACR	3.74836321594277
KLK7	6.50846155192401
ALOX5AP	3.76549593846169
LRP1	5.5034998002159
TNK1	5.47286074277154
TAS2R9	3.17823218403096
ZNF16	6.63960302832421
POLR1B	5.13215311560387
SLC8A2	4.10464929839565
OLFM4	2.90585585216761
TACC1	4.13542575990427
SAMHD1	5.07149182307572
ATP13A2	4.84337450780588
KRT4	4.6061805106223
PAX6	3.99707126041374
SCG2	3.31551887647856
SLC17A6	3.46811090788514
TUBB4	4.27757899558489
PADI4	3.01087857646079
FMO3	3.38381343450886
NLK	3.78263824747165
POU4F3	3.38987825316615
MDM2	3.58685868132881
CAPNS1	9.19139151088531
SDF4	7.30397857997085
ITGBL1	3.32919453696304
TAP2	3.77911245863059
OR2C1	3.64295973035645
KLHDC3	5.58315164860998
EFHD2	4.89270789317864
GALR3	3.31024928317369
NBEA	3.33963134328477
ABCA6	2.99437286065102
ABBA-1	3.95923699360605
GNAI1	6.78830004758465
CLDN3	8.31074201582267
AKT2	3.26025828700509
EGFR	4.2862117036815
VPS4B	5.6277651915089
RBM16	6.51974133931926
GALNT6	4.4301893832413
ZDHHC3	5.43465953012783
SLC25A4	6.5944601545936
CYB5B	5.02728914151729
NDRG1	8.14059296184721
SESN1	4.63110543280304
GBE1	8.3693348209716
MRPL46	5.71787950026660
CLASP1	5.51969875382733
FARP2	4.29695316435655
ACOT11	4.16773419079797
LDHAL6B	3.13364787222141
MAPKAPK3	6.11563537987101
NCAM2	2.98159271401736
AFAP1	4.40139152396947
PRKD2	5.78833539891084
OR2H2	3.38812294761640
ZFP36L1	7.29705073314706
DZIP1	4.14036360389834
GPR161	4.28951645144214
RNF146	3.82376868053501
NKX3-1	3.74088864875128
CCNB2	6.69271116202807
ZNF10	4.52843777546437
WDR74	5.52736078771524
FAM134A	8.28508989984333
PCNP	8.55235190007384
PURA	5.90275231280046
DNPEP	7.1682783792354
ERBB2	4.93828901568571
CREB1	5.38970852900906
NEO1	6.08973914693759
DDX3Y	3.25515740412301
RPS3A	12.7963913902082
MXRA7	8.112053826319
LGALS3	10.6724392623824
GLT8D1	7.31527839067881
TMPRSS3	8.418878815779
UPB1	3.43249831818136
LAT	3.73694440574803
CLDN14	4.1527812082547
DHX38	4.70402572627156
KCNA3	3.24276794284473
BTBD1	7.61393454863391
TARS2	5.90371114842248
SKIV2L2	8.44426270714727
ABCF1	7.7220261821563
CDT1	3.10485082030696
ZHX2	7.98733775092662
FCF1	4.976006668352
LRRC49	4.21894304628519
GUCY1B2	3.59387389181617
CD28	3.46811376742806
SMARCA4	5.47201759654846
SEPT2	8.50942346576558
SOHLH2	3.02836138219423
MCOLN3	3.97427724879635
LRP8	4.05441917092131
TAGLN3	3.65026204565678
MASP2	3.61546294556788
GPATCH3	4.384260988669
TTRAP	7.41249684254986
AGL	6.01056891029833
NFE2L3	4.195248586991
PSD4	4.02587305575511
PALMD	7.32468873157262
CCNB1IP1	8.79968794212351
TMEM43	7.08263033986692
OBFC1	6.23750072490504
STAT5B	4.18338701892311
C14orf79	5.04213059554999
ENPEP	4.39086509291900
SSB	7.79489285187022
SCT	3.01229086259531
TIMM23	6.44329832951354
SKI	3.70803371248019
SLC22A13	3.27676124405209
AKAP3	3.29089927006876
OAS2	4.15575983689779
KIAA0423	6.02783919458955
SEC61G	9.26123856362745
CAPN11	3.31657142840814
TMEM50B	7.86724263100307
DEGS1	6.40256764749196
ARHGEF4	3.46670568947118
DBNDD1	4.35798604031116
